Salary,Level,Year of Experience,Programming Language,Language,Lang,Location,Cluster
10000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
10000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
7000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,javascript,tiếng anh,vi,Hà Nội,4
35000000.0,Nhân viên,2 năm,Khác,tiếng anh,en,Hồ Chí Minh,3
14000000.0,Trưởng nhóm,3 năm,Khác,Không yêu cầu,vi,Hà Nội,0
30000000.0,Nhân viên,1 năm,c#,tiếng anh,vi,Hà Nội,4
18000000.0,Nhân viên,Dưới 1 năm,javascript,tiếng anh,vi,Hồ Chí Minh,2
40000000.0,Nhân viên,1 năm,c#,Không yêu cầu,vi,Hà Nội,0
40000000.0,Nhân viên,1 năm,c,Không yêu cầu,vi,Hà Nội,0
40000000.0,Nhân viên,1 năm,c++,Không yêu cầu,vi,Hà Nội,0
40000000.0,Nhân viên,1 năm,python,Không yêu cầu,vi,Hà Nội,4
15000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
17500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
30000000.0,Nhân viên,2 năm,c,Không yêu cầu,vi,Hà Nội,0
30000000.0,Nhân viên,2 năm,javascript,Không yêu cầu,vi,Hà Nội,4
30000000.0,Nhân viên,2 năm,c++,Không yêu cầu,vi,Hà Nội,0
30000000.0,Nhân viên,2 năm,java,Không yêu cầu,vi,Hà Nội,0
27000000.0,Nhân viên,2 năm,javascript,Không yêu cầu,en,Hồ Chí Minh,3
25000000.0,Nhân viên,1 năm,Khác,tiếng anh,vi,Hà Nội,0
25000000.0,Nhân viên,1 năm,Khác,tiếng anh,vi,Hà Nội,0
20000000.0,Quản lý / Giám sát,3 năm,Khác,Không yêu cầu,vi,Hà Nội,0
25000000.0,Nhân viên,2 năm,python,Không yêu cầu,vi,Hà Nội,4
11500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
25000000.0,Quản lý / Giám sát,1 năm,Khác,tiếng anh,vi,Hà Nội,4
17500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
25000000.0,Nhân viên,3 năm,c,Không yêu cầu,vi,Hà Nội,0
25000000.0,Nhân viên,3 năm,kotlin,Không yêu cầu,vi,Hà Nội,4
25000000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hà Nội,4
16000000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
12500000.0,Nhân viên,1 năm,c#,Không yêu cầu,vi,Hà Nội,0
27600000.0,Nhân viên,2 năm,Khác,tiếng anh,en,Hà Nội,1
8000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Khác,5
11500000.0,Nhân viên,Dưới 1 năm,Khác,tiếng anh,en,Hà Nội,1
40000000.0,Nhân viên,4 năm,Khác,Không yêu cầu,vi,Hà Nội,0
29900000.0,Nhân viên,2 năm,javascript,tiếng anh,vi,Hà Nội,4
29900000.0,Nhân viên,2 năm,java,tiếng anh,vi,Hà Nội,4
12500000.0,Nhân viên,1 năm,Khác,tiếng anh,vi,Hà Nội,0
17500000.0,Nhân viên,3 năm,Khác,Không yêu cầu,vi,Hà Nội,0
12000000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hà Nội,4
40250000.0,Nhân viên,2 năm,Khác,tiếng anh,en,Hồ Chí Minh,3
24000000.0,Nhân viên,2 năm,javascript,tiếng anh,en,Hà Nội,1
24000000.0,Nhân viên,2 năm,python,tiếng anh,en,Hà Nội,1
34000000.0,Nhân viên,3 năm,Khác,Không yêu cầu,en,Hà Nội,1
30000000.0,Nhân viên,1 năm,php,tiếng anh,vi,Hà Nội,4
30000000.0,Nhân viên,1 năm,php,tiếng nhật,vi,Hà Nội,4
30000000.0,Nhân viên,1 năm,javascript,tiếng anh,vi,Hà Nội,4
