Salary,Level,Year of Experience,Programming Language,Language,Lang,Location,Cluster
40000000.0,Nhân viên,3 năm,php,tiếng nhật,vi,Hà Nội,4
40000000.0,Nhân viên,3 năm,php,tiếng anh,vi,Hà Nội,4
28000000.0,Nhân viên,2 năm,python,Không yêu cầu,vi,Hà Nội,4
8000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,tiếng nhật,vi,Hà Nội,4
3000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,tiếng nhật,vi,Hà Nội,4
33000000.0,Nhân viên,4 năm,python,tiếng anh,vi,Hà Nội,4
33000000.0,Nhân viên,4 năm,php,tiếng anh,vi,Hà Nội,4
33000000.0,Nhân viên,4 năm,javascript,tiếng anh,vi,Hà Nội,4
20000000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,4
27500000.0,Nhân viên,3 năm,php,Không yêu cầu,vi,Hà Nội,4
30000000.0,Nhân viên,2 năm,python,tiếng anh,vi,Hà Nội,4
22500000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,4
40250000.0,Nhân viên,2 năm,python,tiếng anh,vi,Hà Nội,4
40250000.0,Nhân viên,2 năm,java,tiếng anh,vi,Hà Nội,4
40250000.0,Nhân viên,2 năm,c++,tiếng anh,vi,Hà Nội,4
28750000.0,Nhân viên,2 năm,python,Không yêu cầu,vi,Hà Nội,4
13000000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hà Nội,4
30000000.0,Nhân viên,3 năm,java,tiếng anh,vi,Hà Nội,4
15000000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,4
15000000.0,Nhân viên,2 năm,javascript,Không yêu cầu,vi,Hà Nội,4
21000000.0,Trưởng/Phó phòng,5 năm,Khác,tiếng anh,vi,Hà Nội,4
28500000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hà Nội,4
28500000.0,Nhân viên,3 năm,kotlin,Không yêu cầu,vi,Hà Nội,4
37500000.0,Trưởng nhóm,4 năm,php,tiếng nhật,vi,Hà Nội,4
22500000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,4
17000000.0,Nhân viên,2 năm,Khác,tiếng nhật,vi,Hà Nội,4
18500000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hà Nội,4
12000000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hà Nội,4
22500000.0,Nhân viên,3 năm,php,Không yêu cầu,vi,Hà Nội,4
