Salary,Level,Year of Experience,Programming Language,Requirement Language,Description Language,Location,Cluster
22500000.0,Trưởng/Phó phòng,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
22500000.0,Trưởng nhóm,3 năm,Khác,Không yêu cầu,vi,Hà Nội,0
12000000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
7000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
40000000.0,Nhân viên,2 năm,java,Không yêu cầu,vi,Hà Nội,0
8500000.0,Nhân viên,Dưới 1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
8500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,tiếng anh,vi,Hà Nội,0
30000000.0,Nhân viên,3 năm,Khác,Không yêu cầu,vi,Hà Nội,0
7500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
21500000.0,Nhân viên,5 năm,Khác,Không yêu cầu,vi,Hà Nội,0
12500000.0,Nhân viên,1 năm,Khác,tiếng anh,vi,Hà Nội,0
21000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
4250000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
15000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
35000000.0,Trưởng/Phó phòng,5 năm,Khác,Không yêu cầu,vi,Hà Nội,0
10000000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
30000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
17500000.0,Trưởng nhóm,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
40000000.0,Nhân viên,3 năm,Khác,Không yêu cầu,vi,Hà Nội,0
12500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
13500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
20000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,tiếng anh,vi,Hà Nội,0
27500000.0,Nhân viên,1 năm,c++,Không yêu cầu,vi,Hà Nội,0
