Salary,Level,Year of Experience,Programming Language,Requirement Language,Description Language,Location,Cluster
36500000.0,Nhân viên,2 năm,Khác,tiếng anh,en,Hồ Chí Minh,3
30000000.0,Nhân viên,3 năm,javascript,Không yêu cầu,en,Đà Nẵng,3
23000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,tiếng anh,en,Hồ Chí Minh,3
20000000.0,Trưởng nhóm,2 năm,python,Không yêu cầu,en,Khác,3
35000000.0,Nhân viên,2 năm,Khác,tiếng anh,en,Hồ Chí Minh,3
27000000.0,Nhân viên,2 năm,javascript,Không yêu cầu,en,Hồ Chí Minh,3
40250000.0,Nhân viên,2 năm,Khác,tiếng anh,en,Hồ Chí Minh,3
19500000.0,Nhân viên,3 năm,javascript,Không yêu cầu,en,Hồ Chí Minh,3
37500000.0,Nhân viên,3 năm,Khác,tiếng anh,en,Hồ Chí Minh,3
35000000.0,Nhân viên,2 năm,Khác,tiếng anh,en,Hồ Chí Minh,3
23000000.0,Nhân viên,1 năm,Khác,tiếng anh,en,Hồ Chí Minh,3
14000000.0,Nhân viên,2 năm,kotlin,Không yêu cầu,en,Hồ Chí Minh,3
14000000.0,Nhân viên,2 năm,c,Không yêu cầu,en,Hồ Chí Minh,3
23500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,en,Hồ Chí Minh,3
35000000.0,Nhân viên,3 năm,Khác,Không yêu cầu,en,Hồ Chí Minh,3
35000000.0,Nhân viên,3 năm,Khác,Không yêu cầu,en,Hồ Chí Minh,3
35000000.0,Nhân viên,2 năm,Khác,tiếng anh,en,Hồ Chí Minh,3
19550000.0,Nhân viên,1 năm,Khác,Không yêu cầu,en,Hồ Chí Minh,3
30000000.0,Nhân viên,3 năm,typescript,tiếng anh,en,Hồ Chí Minh,3
30000000.0,Nhân viên,3 năm,java,tiếng anh,en,Hồ Chí Minh,3
20000000.0,Nhân viên,5 năm,Khác,tiếng anh,en,Hồ Chí Minh,3
11500000.0,Nhân viên,Dưới 1 năm,Khác,Không yêu cầu,en,Hồ Chí Minh,3
20700000.0,Nhân viên,2 năm,java,Không yêu cầu,en,Hồ Chí Minh,3
20700000.0,Nhân viên,2 năm,python,Không yêu cầu,en,Hồ Chí Minh,3
30000000.0,Nhân viên,Trên 5 năm,typescript,Không yêu cầu,en,Đà Nẵng,3
30000000.0,Nhân viên,Trên 5 năm,python,Không yêu cầu,en,Đà Nẵng,3
15000000.0,Quản lý / Giám sát,1 năm,Khác,tiếng anh,en,Khác,3
7000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,python,Không yêu cầu,en,Hồ Chí Minh,3
37500000.0,Nhân viên,3 năm,python,Không yêu cầu,en,Hồ Chí Minh,3
13000000.0,Nhân viên,1 năm,Khác,tiếng anh,en,Hồ Chí Minh,3
37500000.0,Nhân viên,3 năm,python,Không yêu cầu,en,Hồ Chí Minh,3
