Title,Link,Company,Salary,Locations,Level,Year of Experience,Contract Type,Sex,Skills
LG Track Program For 4th-Year IT Students,https://www.topcv.vn/viec-lam/lg-track-program-for-4th-year-it-students/1287323.html?ta_source=ITJobs_LinkDetail,LG Electronics Development Vietnam Company Limited,Thoả thuận,Hà Nội,Thực tập sinh,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"- Sinh viên Đại Học năm cuối các chuyên ngành liên quan đến Công Nghệ Thông Tin, đang trong thời gian thực tập hoặc chờ bằng tốt nghiệp; - Có thể đi làm full time vào tháng 6 hoặc tháng 11/2024; - Điểm trung bình tích lũy (GPA) tính đến thời điểm hiện tại từ 3.2/4.0 trở lên; - Điểm cộng nếu bạn từng nhận được các giải thưởng hoặc tham gia các nghiên cứu khoa học. - Gửi CV tiếng Anh (Có ảnh chụp/ file scan chứng thực GPA tích lũy đến thời điểm hiện tại)"
Thực Tập Sinh IT (Phần Cứng),https://www.topcv.vn/viec-lam/thuc-tap-sinh-it-phan-cung/460262.html?ta_source=ITJobs_LinkDetail,Công Ty Cổ Phần Đầu Tư Công Nghệ Hacom,Trên 3 triệu,"Hà Nội, Bắc Ninh",Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Nam,"– Tốt nghiệp các Trường kỹ thuật về CNTT, Kỹ thuật, hoặc người đã ra trường mà chưa có kinh nghiệm về lĩnh vực Kỹ thuật IT phần cứng...– Trung thực, nhanh nhẹn và có tinh thần trách nhiệm trong công việc.LIÊN HỆ:Anh/chị vui lòng gửi CV đầy đủ về quá trình học tập, công tác, khả năng, năng lực bản thân về địa chỉ email hoặc xem thông tin tại website của công ty."
Middle-Senior Java Develop - Onsite Dự Án Bank,https://www.topcv.vn/viec-lam/middle-senior-java-develop-onsite-du-an-bank/1129190.html?ta_source=ITJobs_LinkDetail,Công Ty Cổ Phần GoGroup,Tới 45 triệu,Hà Nội,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"Kiến thứcTốt nghiệp Đại học trở lên chuyên ngành CNTT hoặc các ngành tương đương hoặc có các chứng chỉ tương đương được công nhận bởi các tổ chức uy tínKinh nghiệm≥ 1 năm kinh nghiệm làm việc thực tế tại các tổ chức CNTTNắm rõ quy trình xây dựng và triển khai phần mềmSử dụng thành thạo Java core, có kinh nghiệm phát triển trên framework Spring Boot.Có hiểu biết về cơ sở dữ liệu: SQL, noSQLCó hiểu biết về việc sử dụng các công cụ quản trị như: Jija, Git,...Ưu tiênƯu tiên kinh nghiệm làm việc trong lĩnh vực tài chính / ngân hàngƯu tiên ứng viên có kinh nghiệm về phát triển ứng dụng theo dạng Cloud Native như: Microservice, CICD, DepOps, Containerization...Ưu tiên Nhân sự đã từng tham gia triển khai các dự án theo mô hình Agile/ScrumƯu tiên nhân sự có kinh nghiệm về xử lý bất đồng bộ, xử lý đa nhiệm, event sourcing, có kinh nghiệm về các hệ thống Message Queue (Kafka, RabbitMQ), có hiểu biết về xử lý cache, job.Ngoại ngữCó khả năng đọc viết tiếng Anh (cơ bản) nghe nói (nếu có thể).Ưu tiên ứng viên có chứng chỉ Tiếng Anh quốc tế (TOEICS 450 trở lên hoặc tương đươngYêu cầu khácKỹ năng giao tiếp và làm việc nhóm tốtSẵn sàng làm việc ngoài giờ hành chínhTinh thần trách nhiệm, ham học hỏi"
Senior IOS Developer (English),https://www.topcv.vn/viec-lam/senior-ios-developer-english/1287566.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN LOTUS TECHNOLOGY SERVICES,"Tới 3,000 USD",Hà Nội,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"xtensive experience of the Swift & Objective C programming languages & the iOS SDK.Experience of developing multi threaded networked iOS mobile applications.Experience in developing custom iOS components.Good understanding on how to scale UI across multiple devices using size classes.Strong MVC/Object Oriented programming skills, demonstrable through past work examples.Unit testing and automation testing technologiesContinuous Integration.A knowledge of Video on demand technologies and workflows, including an understanding of streaming technologies & protocols (including delivery of HLS).Swift and Objective-CMVVMAVFoundationXCTestCOMMUNICATION SKILLSExcellent English communication and presentation skills.Able to effectively communicate technical information to a non-technical audience"
Senior Front-End Developer ( React JS ) - English,https://www.topcv.vn/viec-lam/senior-front-end-developer-react-js-english/1287573.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN LOTUS TECHNOLOGY SERVICES,"Tới 2,500 USD",Hà Nội,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"At least 4 years of experience with Javascript Language.Deep knowledge of JS frameworks, especially the ReactJS framework and Redux,VueJS, Webpack, ES6.Strong experience working with Javascript LanguageAbility to work with agile processes & teamworkBe passionate about new technologies and be eager to learn them.Teamwork, Logical thinking, and Problem-solving skills."
Data Analyst Solution,https://www.topcv.vn/viec-lam/data-analyst-solution/1136514.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN TƯ VẤN CÔNG NGHỆ NGS,Tới 30 triệu,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"Tốt nghiệp chuyên ngành các Khối ngành về Hệ thống thông tin, Cơ sở dữ liệu ...Có từ 2 - 3 năm kinh nghiệm làm việc thực tế trong lĩnh vực Data.Thành thạo phân tích, triển khai báo cáo trên Power BI và các công cụ ETL & DWH khác (SAP BW, Azure, SQL, Power Query,...).Ưu tiên ứng viên có hiểu biết về nghiệp vụ trong lĩnh vực sản xuất, Logistic.Thành thạo tiếng Anh trong công việc (giao tiếp và sử dụng tài liệu).Có khả năng phân tích, lập mô hình dữ liệu trong môi trường học tập dữ liệu lớn.Có kinh nghiệm làm việc với R và Python, Power Apps, Power Automate,.. là một lợi thế.Có kinh nghiệm làm việc với các công cụ và công nghệ quản lý dữ liệu chủ (MDM).Kỹ năng tư duy phân tích và khái niệm nâng cao.Có chứng chỉ về phân tích dữ liệu: Power BI là một lợi thếƯu tiên ứng viên có sự hiểu về biết về lĩnh vực dầu khí."
Chuyên Viên Kiểm Thử Phần Mềm,https://www.topcv.vn/viec-lam/chuyen-vien-kiem-thu-phan-mem/1287326.html?ta_source=ITJobs_LinkDetail,Công ty Cổ phần 1OFFICE,10 - 15 triệu,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"Có từ 2 năm kinh nghiệm test về Web, App trở lên.Tốt nghiệp đại học ngành IT, CNTT hoặc tương đương.Biết phân tích yêu cầu để viết tài liệu và viết testcase đầy đủ.Có tư duy, khả năng phân tích, theo dõi công việcAm hiểu về quy trình testing sản phẩm, làm việc nhóm. Có kinh nghiệm làm việc theo mô hình Agile Scrum.Trách nhiệm và chủ động với công việc, có hiểu biết về các nguồn tự học để nâng cao chuyên môn testing. Hòa đồng vui vẻ, yêu nghề nghiệp, sẵn sàng học hỏi.Ưu tiên ứng viên đi làm ngay."
Back Office Manager,https://www.topcv.vn/viec-lam/back-office-manager/1287603.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN CÔNG NGHỆ NAMI,Thoả thuận,Hồ Chí Minh,Trưởng/Phó phòng,2 năm,Toàn thời gian,Không yêu cầu,"- Bachelor's degree in Business Administration, Accounting, Finance, or a related field.
- 2+ years of progressive experience in operations management, with demonstrable experience in finance and HR.
- Literacy in basic finance documents
- Strong analytical, problem-solving, and decision-making abilities.
- Excellent communication and interpersonal skills, with the ability to build positive relationships across teams.
- Demonstrated ability to lead and motivate teams.- Experience in the technology industry
- Familiarity with AI concepts and applications"
Fresher AI,https://www.topcv.vn/viec-lam/fresher-ai/1185769.html?ta_source=ITJobs_LinkDetail,Công ty Cổ phần MISA,Tới 4 triệu,Hà Nội,Thực tập sinh,Không yêu cầu kinh nghiệm,Thực tập,Không yêu cầu,"- Là sinh viên năm cuối chuyên ngành CNTT, Công nghệ phần mềm, Toán Tin, Khoa học máy tính, ...- Điểm GPA > 2.5 - Ham học hỏi, tư duy logic tốt, trách nhiệm với công việc.- Yêu thích nghiên cứu AI, đam mê việc tạo ra sản phẩm đột phá, có ích cho xã hội.- Nắm được kiến thức, thuật toán cơ bản về Machine Learning, Deeplearning- Sử dụng được một số thư viện của ML như numpy, pandas, sklearn, tensorflow, pytorch, ...- Ứng viên sẽ có lợi thế nếu:+ Đã có nền tảng tốt về Giải tích, Xác suất, Thống kê, Đại số tuyến tính.+ Đạt giải thưởng tại các cuộc thi chuyên môn hoặc thành tích học tập tốt.+ Có khả năng giao tiếp tiếng Anh khá."
Chuyên Viên Dữ Liệu (Data Management),https://www.topcv.vn/viec-lam/chuyen-vien-du-lieu-data-management/1232456.html?ta_source=ITJobs_LinkDetail,Công ty cổ phần Canifa,10 - 23 triệu,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"– Tốt nghiệp Đại học trở lên chuyên ngành CNTT, khoa học dữ liệu, hệ thống thông tin hoặc các chuyên ngành khác liên quan– Tối thiểu 1 năm kinh nghiệm trong lĩnh vực CNTT, phân tích dữ liệu; đã tham gia xây dựng 1 hệ thống Data Warehouse hoặc phát triển ETL trên nền tảng hoặc công cụ bất kỳ– Thành thạo ít nhất 1 trong những CSDL: MySQL, Postgresql, MongoDB, thành thạo ngôn ngữ truy vấn CSDL, sử dụng ít nhất 1 công cụ ETL hoặc nền tảng xây dựng Data Warehouse– Chứng chỉ Phân tích dữ liệu trong lĩnh vực bán lẻ hoặc thương mại điện tử là lợi thế– Yêu cầu khác: Làm việc nhóm, cẩn thận, tỉ mỉ, ham học hỏi"
Lập Trình Viên Flutter,https://www.topcv.vn/viec-lam/lap-trinh-vien-flutter/1119889.html?ta_source=ITJobs_LinkDetail,Công ty cổ phần phần mềm REVOTECH,Tới 30 triệu,Hà Nội,Nhân viên,4 năm,Toàn thời gian,Nam,"- Yêu cầu từ 04 năm kinh nghiệm phát triển mobile (flutter, reactnative)- Có kinh nghiệm sử dụng các tools: Android Studio, Xcode, Git, Jira, Trello....- Hiểu biết về Bloc, design parttern,...- Ưu tiên cao với những bạn đã từng tham gia publish app lên Google play, Apple store hoặc có app đã được publish trên Google play, Apple store.- Ưu tiên đã làm việc với quy trình Agile- Có thể onsite khi có dự án yêu cầu.- Có khả năng xử lý tình huống tốt, cẩn thận, trách nhiệm cao trong công việc - Có khả năng làm việc độc lập, làm việc nhóm, giao tiếp tốt và trình bày vấn đề logic"
React Native Leader,https://www.topcv.vn/viec-lam/react-native-leader/1286954.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN PHẦN MỀM MIRAI VIỆT NAM,Thoả thuận,Hà Nội,Trưởng nhóm,3 năm,Toàn thời gian,Không yêu cầu,"Có tối thiểu 3 năm kinh nghiệm lập trình mobile với React NativeCó ít nhât 1 năm làm vị trí teamlead hoặc tương đương.Có 1 năm kinh nghiệm làm việc với Flutter.Có kinh nghiệm làm việc với REST APIs.Sử dụng thành thạo JavaScript, TypeScript, HTML5, CSS3Tư duy logic tốt, chủ động, có tinh thần trách nhiêm với công việc được giaoĐam mê phát triển sản phẩm, đam mê và yêu thích lập trình"
Tester QA,https://www.topcv.vn/viec-lam/tester-qa/1287498.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH CÔNG NGHỆ FOOBLA,8 - 18 triệu,Hà Nội,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"Có tối thiểu 03 năm kinh nghiệm trong vị trí TesterCó khả năng phân tích, đọc hiểu yêu cầuNắm vững các quy trình và kỹ thuật testCó khả năng lên kế hoạch cho giai đoạn testCó khả năng tạo test case, test script theo yêu cầu hệ thốngCó khả năng phối hợp với Developer trong quá trình fix bugCó khả năng làm việc độc lập hoặc theo nhómCẩn thận, chủ động, có trách nhiệm, có thái độ cầu tiếnCó tinh thần liên tục học hỏi và đổi mớiĐã có kinh nghiệm sử dụng Git, SVN và các công cụ quản trị dự án là một lợi thế.Kỹ năng ngoại ngữ: Đọc và hiểu tiếng Anh CNTT."
DevOps Developer,https://www.topcv.vn/viec-lam/devops-developer/1287540.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH CÔNG NGHỆ FOOBLA,Thoả thuận,Hà Nội,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"Ít nhất 01 năm kinh nghiệm với DevOps hoặc SRE.Có kiến thức tốt về Linux.Có kiến thức và hiểu về Docker.Có kinh nghiệm với CI & CD tools.Ưu tiên có kinh nghiệm (không bắt buộc, có hỗ trợ đào tạo) với Kubernetes và quản lý kiến trúc microservice.Ưu tiên có kinh nghiệm (không bắt buộc, có hỗ trợ đào tạo) với AWS services hoặc Google Cloud Platform.Ưu tiên có kinh nghiệm (không bắt buộc, có hỗ trợ đào tạo) sửa lỗi hệ thống, mạng và các vấn đề bảo mật trên các hệ thống có lượng nhánh lớn.Ưu tiên có kinh nghiệm (không bắt buộc, có hỗ trợ đào tạo) với việc cung cấp và phát triển các giải pháp để quản lý và cảnh báo.Ưu tiên có kinh nghiệm (không bắt buộc, có hỗ trợ đào tạo) tự động hóa các tác vụ với ngôn ngữ lập trình như Python, Bash hoặc JavaScript.Mong muốn học hỏi và làm việc với các dịch vụ cơ sở hạ tầng khác nhau được cung cấp bởi các nền tảng đám mây thương mại."
Intern Developer,https://www.topcv.vn/viec-lam/intern-developer/1287585.html?ta_source=ITJobs_LinkDetail,Công ty cổ phần HBLab (Hedspi Brothers Lab),Thoả thuận,Hà Nội,Thực tập sinh,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"– Sinh viên năm cuối ngành CNTT các trường đại học ( có thể đi làm full-time), ký hợp đồng sau khi qua phỏng vấn. Ưu tiên ứng viên các trường ĐH Bách Khoa, ĐH Công Nghệ - ĐH Quốc Gia, Bưu chính Viễn Thông, FPT,...– Có kinh nghiệm thực tập tại các công ty IT là lợi thế– Nắm vững kiến thức về lập trình– Tư duy tốt và ham học hỏi"
