,Title,Link,Company,Size company,Salary,Locations,Level,Year of Experience,Contract Type,Sex,Skills
431,Junior Backend Developer,https://www.topcv.vn/viec-lam/junior-backend-developer/1132416.html?ta_source=ITJobs_LinkDetail,Công ty cổ phần Công nghệ Kỹ thuật Vtech,25-99 nhân viên,Tới 25 triệu,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"- Yêu thích làm game và có kỹ năng lập trình với Nodejs.- Có kiến thức về các hệ quản trị cơ sở dữ liệu MYSQL, Redis.- Yêu thích làm việc với máy chủ và mã nguồn mở linux.- Có kiến thức cơ bản về mạng máy tính và các giao thức SOAP, restful api, socket.- Ưu tiên nhưng ứng viên đã từng chơi và tiếp cập làm các game tương tự.- Không ngại tiếp cận kiến thức mới, ham học hỏi"
432,Partner Manager,https://www.topcv.vn/viec-lam/partner-manager/1293359.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TSG,100-499 nhân viên,15 - 25 triệu,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"- Có ít nhất 1 năm kinh nghiệm làm việc với đối tác nước ngoài như: phiên dịch, marketing, xuất nhập khẩu...- Có trách nhiệm cao và chủ động trong công việc- Có năng lực giải quyết vấn đề và thực hiện triển khai công việc- Có kỹ năng phối hợp, làm việc nhóm- Có kỹ năng tạo dựng mối quan hệ và đàm phán.- Tiếng Anh nghe, nói, đọc, viết thành thạo."
433,.Net Developer,https://www.topcv.vn/viec-lam/net-developer/998610.html?ta_source=ITJobs_LinkDetail,Công ty CP Công Nghệ Just- In- Time Solutions,25-99 nhân viên,15 - 25 triệu,Hồ Chí Minh,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"Có kiến thức và khả năng làm việc trên nền .NET Core/.NET FrameworkHiểu biết các mô hình lập trình OOP, MVC, Web API.Có kiến thức và khả năng làm việc với database SQLCó kỹ năng phân tích và giải quyết vấn đề, khả năng học hỏi nhanh công nghệ mới.Có tinh thần trách nhiệm cao trong công việc.Sẵn sàng tham gia công tác tại Thái Lan, Lào, Myanmar, Campuchia hoặc theo dự án tham gia;Chấp nhận SV mới ra trường, sẽ được đào tạo."
434,C# Developer,https://www.topcv.vn/viec-lam/c-developer/1252791.html?ta_source=ITJobs_LinkDetail,Công ty CP Công Nghệ Just- In- Time Solutions,25-99 nhân viên,15 - 25 triệu,Hồ Chí Minh,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"Tốt nghiệp đại học chuyên ngành Công nghệ thông tin, Kỹ thuật phần mềm hoặc lĩnh vực liên quan.Thành thạo C#, Javascript.Có kiến thức và kỹ năng làm việc với cơ sở dữ liệu SQL Server, Mysql hoặc OracleCó kinh nghiệm làm việc trong lĩnh vực phát triển phần mềm.Có khả năng phân tích và giải quyết vấn đề kỹ thuật phức tạp.Sẵn sàng học hỏi, tìm hiểu các kiến thức mới: công nghệ, kiến thức về lập trình và kiến thức về nghiệp vụ trong lĩnh vực Ngân hàng, Tài chính"
435,Intern/ Fresher Developer (Front End - Back End),https://www.topcv.vn/viec-lam/intern-fresher-developer-front-end-back-end/1336153.html?ta_source=ITJobs_LinkDetail,Công ty cổ phần HBLab (Hedspi Brothers Lab),100-499 nhân viên,Thoả thuận,Hà Nội,Thực tập sinh,Dưới 1 năm,Toàn thời gian,Không yêu cầu,"– Sinh viên năm cuối ngành CNTT các trường đại học ( có thể đi làm full-time), ký hợp đồng sau khi qua phỏng vấn– Có kinh nghiệm thực tập tại các công ty IT là lợi thế– Nắm vững kiến thức về lập trình– Tư duy tốt và ham học hỏi"
436,Graphic Designer,https://www.topcv.vn/viec-lam/graphic-designer/1334689.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH KIMEI GLOBAL,25-99 nhân viên,Thoả thuận,Hồ Chí Minh,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"Graduated in Design, Fine Arts, or attended specialized training courses in design and fine arts.Minimum 1 year of experience in a Graphic Design position (experience in advertising/design/fine arts companies is an advantage).Proficiency in design software such as AI, Photoshop, Premiere, After Effects, etc.High sense of responsibility, ability to work in a team and independently.Proactive in updating design trends, new technologies, and regularly enhancing creative abilities for job application.Interest or knowledge/experience in technology products, software, business management, goal-oriented administration is a plus.Knowledge of UX/UI is a plus."
437,Nhân Viên Chăm Sóc Khách Hàng,https://www.topcv.vn/viec-lam/nhan-vien-cham-soc-khach-hang/1335033.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN DỊCH VỤ TRUYỀN THÔNG VIETNAMNET ICOM,100-499 nhân viên,9 - 11 triệu,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"Tốt nghiệp từ Trung cấp / Cao đẳngNghiệp vụ: Tư vấn và chăm sóc khách hàngKỹ năng: kiên nhẫn, lắng nghe, thấu hiểu cảm giác của khách hàng, giải quyết vấn đề nhanh chóng, chính xác và thỏa đáng. Thái độ: Hòa nhã, mềm mỏng, vui vẻ trách nhiệm, luôn coi trọng khách hàng"
438,Cộng Tác Viên Marketing (Parttime),https://www.topcv.vn/viec-lam/cong-tac-vien-marketing-parttime/1335214.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN DỊCH VỤ TRUYỀN THÔNG VIETNAMNET ICOM,100-499 nhân viên,4 - 6 triệu,Hà Nội,Thực tập sinh,Dưới 1 năm,Bán thời gian,Không yêu cầu,"Sinh viên năm 3, năm 4Ưu tiên sinh viên chuyên ngành báo chí, marketing"
439,"Senior Back-End Developer (Nodejs, Typescript)",https://www.topcv.vn/viec-lam/senior-back-end-developer-nodejs-typescript/1335415.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH BRICKMATE GROUP VIETNAM,100-499 nhân viên,Thoả thuận,Hồ Chí Minh,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"Technical Skills Requirements:Proficiency in Node.js and Express.js frameworks is essential, with a strong emphasis on TypeScript.The ideal candidate will have 3-5 years of experience and a strong background in Agile methodologies like Scrum.Experience in developing RESTful APIs, GraphQL (is plus) and web services, prioritizing documentation using tools such as Postman, Swagger.Knowledge of both NoSQL and relational databases, including MongoDB, MySQL, PostgreSQL, MariaDB, and experience with Prisma or TypeORM.Demonstrated experience with cloud computing platforms such as Google Cloud Platform (GCP) or AWS (Amazon), alongside expertise in containerization technologies like Docker, Docker Compose, and Kubernetes (K8s).Familiarity with Linux operating systems, shell scripting, and infrastructure as code tools like Terraform.Experience working with message queue systems like RabbitMQ, Google PubSub, Redis PubSub, Kafka, etc.Proficiency in using caching solutions like Redis, Memcached, or similar tools.Understanding of version control systems such as Git and proficiency in Git workflows.Additional Requirements:Bachelor’s degree in Computer Science, Engineering, or a related field is preferred.Strong problem-solving skills and the ability to work independently and as part of a team.Excellent communication and collaboration abilities.A passion for learning and staying updated with the latest technologies and industry trends.Fluent English communication skills are advantageous."
440,"Senior Frontend Developer (Typescript, Nodejs)",https://www.topcv.vn/viec-lam/senior-frontend-developer-typescript-nodejs/1335393.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH BRICKMATE GROUP VIETNAM,100-499 nhân viên,Thoả thuận,Hồ Chí Minh,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"Technical Skills Requirements:Proficiency in React.js framework is essential, with a strong emphasis on TypeScript.The ideal candidate will have 3-5 years of experience and a deep understanding of modern frontend technologies and best practices.Experience in building complex user interfaces and single-page applications (SPAs) using React.js, Redux (or other state management libraries), and modern frontend build tools such as Webpack.Solid understanding of HTML5, CSS3 (including preprocessors like SASS or LESS, Tailwind), and responsive design principles.Familiarity with Vue.js framework and its ecosystem.Familiarity with RESTful APIs and asynchronous JavaScript programming.Have experiences with GraphQL is plus.Knowledge of frontend testing frameworks (e.g., Jest, Enzyme) and automated testing techniques.Understanding of version control systems such as Git and proficiency in Git workflows.Familiarity with backend technologies like Node.js and Express.js is a plus.Additional Requirements:Bachelor’s degree in Computer Science, Engineering, or a related field is preferred.Strong problem-solving skills and the ability to work independently and as part of a team.Excellent communication and collaboration abilities.A passion for learning and staying updated with the latest frontend technologies and industry trends.Fluent English communication skills are advantageous."
441,Nhân Viên Triển Khai Giải Pháp,https://www.topcv.vn/viec-lam/nhan-vien-trien-khai-giai-phap/1335891.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TSG,100-499 nhân viên,15 - 20 triệu,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"- Tốt nghiệp ĐH, CĐ chuyên ngành CNTT- Có kinh nghiệm từ 2 năm làm về triển khai.- Có chứng chỉ CCNA, MCSA.- Có kinh nghiệm triển khai với các thiết bị cũa hãng cisco, fortinet, Ubiquit là lợi thế.- Có trách nhiệm cao và chủ động trong công việc.- Có kỹ năng phối hợp, làm việc nhóm.- Đọc hiểu tốt tài liệu Tiếng Anh."
442,Nhân Viên IT Network,https://www.topcv.vn/viec-lam/nhan-vien-it-network/1333705.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH CÔNG NGHỆ DỊCH VỤ BCVN,10-24 nhân viên,9 - 15 triệu,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Nam,"Tốt nghiệp đại học, cao đẳng các chuyên ngành Công nghệ thông tin, IT support, Quản trị Mạng, An ninh mạng, An toàn thông tin.Kinh nghiệm: ≥ 01 năm Tuổi : ≤ 30"
443,IT Support,https://www.topcv.vn/viec-lam/it-support/1286880.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH YOUMED VIỆT NAM,25-99 nhân viên,7 - 9 triệu,Hồ Chí Minh,Nhân viên,Dưới 1 năm,Toàn thời gian,Không yêu cầu,"Có hiểu biết nền tảng, kinh nghiệm xử lý các vấn đề liên quan phần cứng, phần mềm, mạng máy tính.Nhiệt tình, chủ động trong công việc.Trung thực, cẩn thận.Có tinh thần học hỏi, cầu tiến.Linh động thời gian làm việc, tùy theo lịch của đội ngũ kinh doanh."
444,Chuyên Viên Dịch Vụ Công Nghệ Thông Tin,https://www.topcv.vn/viec-lam/chuyen-vien-dich-vu-cong-nghe-thong-tin/1335880.html?ta_source=ITJobs_LinkDetail,NGÂN HÀNG TMCP VIỆT Á - VIETABANK,1000+ nhân viên,Thoả thuận,Hà Nội,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"- Tốt nghiệp Cao đẳng trở lên chuyên ngành Công nghệ Thông tin- Có ít nhất 02 năm kinh nghiệm làm tại vị trí quản trị dự án Công nghệ Thông tin; quản trị dịch vụ Công nghệ Thông tin; tích hợp và triển khai các dự án Công nghệ Thông tin;- Có kinh nghiệm hỗ trợ hướng dẫn người dùng, vận hành Core Flexcube và Phân quyền Core Flexcube, hiểu biết nghiệp vụ giao dịch tại quầy, tiền gửi. Dùng được PL/SQL hoặc ngôn ngữ tương đương."
445,Nhân Viên SEO Web,https://www.topcv.vn/viec-lam/nhan-vien-seo-web/1335026.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH MTV TM KT TƯỜNG KHÁNH,10-24 nhân viên,Thoả thuận,Hồ Chí Minh,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,Rành về seo websiteTốt nghiệp chuyên ngành Quản trị kinh doanh hoặc các chuyên ngành có liên quanKỹ năng giao tiếp tốtTư duy kinh doanh và tầm nhìn chiến lược tốt Chịu được áp lực công việc
446,React Native Developer (Mức Lương Cạnh Tranh),https://www.topcv.vn/viec-lam/react-native-developer-muc-luong-canh-tranh/1336062.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH THEINFITECH,25-99 nhân viên,Thoả thuận,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"Có từ 2 năm kinh nghiệm trở lên làm việc với React NativeCó hiểu biết về các công nghệ web phổ biến như HTML, CSS, JavascriptCó khả năng làm việc độc lập và làm việc nhómCó khả năng giải quyết vấn đề và tự họcCó khả năng làm việc với các công cụ phần mềm như Git, GitHub,...Ưu tiên:Có kinh nghiệm tham gia cá dự án với NhậtCó tự duy tốt, năm bắt vấn đề và đưa ra giải pháp nhanh"
447,Flutter Developer (Từ 3 Năm Kinh Nghiệm),https://www.topcv.vn/viec-lam/flutter-developer-tu-3-nam-kinh-nghiem/1273795.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN DỊCH VỤ DI ĐỘNG THỂ HỆ MỚI (NMS),500-1000 nhân viên,Tới 35 triệu,Hà Nội,Nhân viên,3 năm,Toàn thời gian,Nam,"Tốt nghiệp Đại học chính quy chuyên ngành CNTT hoặc các ngành tương đươngKinh nghiệm làm việc ở vị trí tuyển dụng từ 4 năm trở lên, đã có kinh nghiệm lead team từ 3 thành viên trở lênCó kiến thức về 1 trong 2 nền tảng native IOS/AndroidCó kinh nghiệm làm tích hợp. Từng làm OneSignal SDK, Appsflyer SDKHiểu biết về REST và RESTful APIBiết sử dụng GitCó kinh nghiệm sử dụng hệ điều hành Linux/MacOSƯu tiên đã từng tham gia dự án có sản phẩm trên Appstore/GG playCó kinh nghiệm sử dụng cross-platform Flutter phát triển ứng dụngCó kiến thức về OOP/Functional ProgrammingĐIỂM CỘNG:Có kinh nghiệm phát triển ứng dụng với Java/Kotlin/SwiftKiến thức về UI/UX trên nền tảng di độngBase đi lên từ Android Dev or IOS Dev, React Native là 1 lợi thếHiểu biết về third party: Firebase, SentryCó kinh nghiệm làm việc với Unit Test/UI test"
448,Backend Developer (Golang/Python/Java) - Từ 4YOE,https://www.topcv.vn/viec-lam/backend-developer-golang-python-java-tu-4yoe/1250344.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN DỊCH VỤ DI ĐỘNG THỂ HỆ MỚI (NMS),500-1000 nhân viên,Thoả thuận,Hà Nội,Nhân viên,4 năm,Toàn thời gian,Không yêu cầu,"Tốt nghiệp Cao đẳng trở lên các chuyên ngành Công nghệ thông tin, Khoa học máy tính, Điện tử viễn thông, Toán – tin, Hệ thống thông tin quản lý,…Từ 4 năm kinh nghiệm lập trình Backend, có kiến thức sâu về ngôn ngữ lập trình Java/Golang;Tư duy về thiết kế hướng đối tượng và nắm vững kiến thức về cấu trúc dữ liệu và giải thuật, lập trình hướng đối tượng,…Thành thạo SQL, PL/SQL, có kiến thức về các hệ quản trị cơ sở dữ liệu Oracle/MySQL, NoSQL, có khả năng tối ưu CSDL;Có kinh nghiệm với các framework Frontend là một lợi thế;Tiếng Anh tương đương 550 TOEIC trở lên."
449,Scrum Master,https://www.topcv.vn/viec-lam/scrum-master/1288670.html?ta_source=ITJobs_LinkDetail,Công ty Cổ phần Thời Trang Yody,5000+ nhân viên,Thoả thuận,Hà Nội & 2 nơi khác,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"- Minimum of 2+ years of experience as a dedicated Scrum Master.- Certified Scrum Master (CSM) or similar certification is highly preferred.- In-depth knowledge of Jira for project management, board configuration, workflow design, reporting, and querying (JQL).- Proficiency in Google Sheets, including data manipulation, formula creation, and chart generation.- Excellent communication skills, with the ability to tailor messaging to technical and non-technical audiences.- Ability to build strong relationships, resolve conflicts, and influence positive change within the team and broader organization.- Understanding of software development principles and technologies.- A proactive mindset with a focus on process optimization and team empowerment."
