,Title,Link,Company,Size company,Salary,Locations,Level,Year of Experience,Contract Type,Sex,Skills
0,Senior Php Developer,https://www.topcv.vn/viec-lam/senior-php-developer/1323191.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH GBG GROUP SERVICES,25-99 nhân viên,Tới 60 triệu,Hồ Chí Minh,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"3+ Years of experience in PHP, MySQL.
Able to learn and adjust to an existing code.
Core PHP, code PHP thuần
Understanding of working with GIT.
Know how to work with JIRA.
Good at analyzing and problem-solving skills
Nice to have Linux, IT and Web Server Management (Optional).
English: Fluent."
1,"Nhân Viên Chăm Sóc Khách Hàng - Customer Service [Fulltime Ca Đêm, English]",https://www.topcv.vn/viec-lam/nhan-vien-cham-soc-khach-hang-customer-service-fulltime-ca-dem-english/1255582.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH IDENTALSOFT VIỆT NAM,25-99 nhân viên,10 - 20 triệu,Hồ Chí Minh,Nhân viên,Dưới 1 năm,Toàn thời gian,Không yêu cầu,"- Thành thạo English để nghe và nói chuyện với người Mỹ (yêu cầu bắt buộc);
- Có khả năng và chấp nhận làm ca đêm, đã có kinh nghiệm làm ca đêm là lợi thế (yêu cầu bắt buộc phải làm ca đêm);
- Có kiến thức căn bản về các phần mềm văn phòng, Microsoft Office;
- Có kinh nghiệm làm Chăm sóc khách hàng các lĩnh vực khác, nếu thuộc lĩnh vực công nghệ thì càng tốt;
- Có kinh nghiệm lĩnh vực IT/CNTT như MAC, Database/SQL, Network or Dental environtment là lợi thế;
- Tốt nghiệp Cao đẳng/Đại học các lĩnh vực, các ngành nghề khác nhau đều được chấp nhận;
- Tốt nghiệp Cao đẳng/Đại học các ngành CNTT, IT, Software, Engineer, Engineer Managment, Technology,... là lợi thế"
2,Quản Lý Dự Án IT - Long Sơn Petro,https://www.topcv.vn/viec-lam/quan-ly-du-an-it-long-son-petro/1233273.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH GIẢI PHÁP DỮ LIỆU SÁNG TẠO,10-24 nhân viên,25 - 30 triệu,Bà Rịa-Vũng Tàu,Quản lý / Giám sát,3 năm,Toàn thời gian,Không yêu cầu,"Tiếng Anh (bắt buộc)Sẵn sàng hỗ trợ đồng nghiệp trong công việc.Chủ động thực hiện các công việc được giao, đưa ra phương án thực hiện công việc, báo cáo kết quả công việc rõ ràng.Sẵn sàng làm các công việc giao hàng, lắp đặt trong quá trình triển khai, hoặc một số công việc ngoài chuyên môn.Sẵn sàng làm việc dài ngày tại công ty của khách hàng.Chịu được áp lực công việc cao.Có kinh nghiệm ở vị trí Quản lý từ 3 năm kinh nghiệm.Độ tưởi: từ 27 tuổi đến 35 tuổi. KỸ NĂNG CỨNG (Có nền tảng):
• Có kiến thức lắp đặt, cấu hình và vận hành các phần cứng Server, Storage, Tape Backup, UPS...
• Có kiến thức cài đặt, cấu hình, vận hành và sử lý sự cố trên các hệ thống ảo hóa: VMware, HyperV, Citrix
• Có kiến thức cài đặt, cấu hình, vận hành và sử lý sự cố trên các hệ điều hành Windows Server.
• Có kiến thức cài đặt, cấu hình, vận hành và sử lý sự cố trên các hệ điều hành Linux.
• Có kiến thức cài đặt, cấu hình, vận hành và sử lý sự cố trên các hệ thống trên nền hệ điều hành của Microsoft như: Active Directory, MS Exchange, File, DNS, DHCP, SQL,...
• Có kiến thức vận hành hệ thống VEEAM backup
• Hiểu biết cơ bản về thiết bị mạng
• Hiểu biết cơ bản về bảo mật hệ thống.
KỸ NĂNG MỀM:
• Kỹ năng viết và trình bày tài liệu kỹ thuật rõ ràng, mạch lạc.
• Tư duy có hệ thống và khả năng chủ động tổ chức, sắp xếp công việc.
• Làm việc theo nhóm.
• Trình bày thuyết trình."
3,Lập Trình Viên SQL,https://www.topcv.vn/viec-lam/lap-trinh-vien-sql/1279810.html?ta_source=ITJobs_LinkDetail,Công ty CP Giải pháp Thanh toán Việt Nam (VNPAY),1000+ nhân viên,Thoả thuận,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"- Trình độ chuyên môn: Tốt nghiệp Đại học hệ chính quy chuyên ngành Công nghệ thông tin, Tin học.- Có kinh nghiệm làm việc trong lĩnh vực quản trị cơ sở dữ liệu.- Thành thạo ngôn ngữ SQL và PL/SQL.- Sử dụng tốt tiếng Anh trong công việc.- Ưu tiên các ứng viên: + Có chứng chỉ quốc tế về các sản phẩm, công nghệ liên quan đến Quản trị Cơ sở dữ liệu Oracle. + Có kinh nghiệm quản trị các cơ sở dữ liệu Oracle, MS SQL Server, quản trị Middleware: Oracle Weblogic Server, Oracle Application Server, IBM – WebSphere Application Server. + Có kinh nghiệm về Oracle Rac và Performance Turning Database. + Có kinh nghiệm triển khai ứng dụng CNTT trên các máy chủ chạy hệ điều hành: Unix (Solaris, HP_UX, Linux) và Windows Server + Có kinh nghiệm làm việc tại các công ty trong lĩnh vực bảo hiểm, ngân hàng, tài chính."
4,Nhân Viên Tester (Ba/ QC/ Tester),https://www.topcv.vn/viec-lam/nhan-vien-tester-ba-qc-tester/1279780.html?ta_source=ITJobs_LinkDetail,Công ty Cổ phần Công nghệ Tin học và Dịch vụ Goline,25-99 nhân viên,12 - 18 triệu,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"- Tốt nghiệp đại học chuyên ngành CNTT.
- Skills yêu cầu
+ Kinh nghiệm test ít nhất 1 năm
+ Có khả năng lên Testcase
+ Có khả năng test qua API
- Skill lợi thế
+ Ưu tiên đã từng triển khai dự án phần mềm chứng khoán, có kinh nghiệm về lĩnh vực chứng khoán
+ Có chứng chỉ ISTQB"
5,Digital Designer - Làm Việc Tại Quận 7 - Lương Up To $1300,https://www.topcv.vn/viec-lam/digital-designer-lam-viec-tai-quan-7-luong-up-to-1300/1323141.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH GBG GROUP SERVICES,25-99 nhân viên,"Tới 1,300 USD",Hồ Chí Minh,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"=> English is a very big bonus point- Strong proficiency in graphic design software such as Adobe Photoshop, Illustrator, or similar tools.
- Proficiency in video editing software such as Adobe Premiere Pro, Final Cut Pro, or similar tools.
- Sound editing skills to enhance video quality with appropriate sound effects and background music.
- Creativity and a keen eye for visual design, color, and typography.
- Strong portfolio showcasing previous web design, graphic design, and video editing work.
- Ability to work collaboratively in a team environment and effectively communicate design ideas.
- Good time management skills to meet project deadlines and manage multiple tasks concurrently."
6,Senior Data Engineer Yêu Cầu Ứng Viên Có Kinh Nghiệm,https://www.topcv.vn/viec-lam/senior-data-engineer-yeu-cau-ung-vien-co-kinh-nghiem/1157236.html?ta_source=ITJobs_LinkDetail,TỔNG CÔNG TY CỔ PHẦN BẢO HIỂM BƯU ĐIỆN,25-99 nhân viên,Thoả thuận,Hà Nội,Nhân viên,5 năm,Toàn thời gian,Không yêu cầu,"Có ít nhất 05 năm kinh nghiệm ở vị trí Data Engineer hoặc các vị trí tương đương. Ưu tiên ứng viên có kinh nghiệm làm việc trực tiếp với hệ thống Data warehouseAm hiểu các hệ điều hành và các loại cơ sở dữ liệu khác nhau. Có kinh nghiệm làm việc với Hadoop Eco System là lợi thếNắm được cách thiết kế Data warehouse theo chuẩn KimballThành thạo viết truy vấn và tối ưu câu lệnh SQLHiểu biết và nắm vững quy trình phát triển hệ thốngSử dụng thành thạo các công cụ: Jira, Git, Xshell, SSMS, MySQL Workbench, DataGrip, ..Có khả năng làm việc độc lập và làm việc nhómCó khả năng tư duy và giải quyết vấn đềCó khả năng nghiên cứu và tự học hỏiYêu thích tìm hiểu công nghệ, cập nhật xu hướng công nghệ mới và có khả năng phân tích ứng dụng công nghệ trong các bài toán cụ thể"
7,Tester,https://www.topcv.vn/viec-lam/tester/1283361.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH DỊCH VỤ DU LỊCH NGÔI NHÀ PHƯƠNG NAM,25-99 nhân viên,Thoả thuận,Hồ Chí Minh,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"- Bằng cử nhân về Khoa học Máy tính hoặc các ngành liên quan khác - Ít nhất 2 năm kinh nghiệm trong mảng kiểm thử hệ thống. - Biết ít nhất 1 ngôn ngữ lập trình gần đây như: Python, Java, Golang,... là một lợi thế - Nẵm vững kỹ thuật và có khả năng kiểm thử các hệ thống phức tạp một cách độc lập. - Khả năng tư duy logic và phân tích để giải quyết các vấn đề kỹ thuật khác nhau. - Có trách nhiệm và tinh thần đồng đội cao. Chủ động phân tích các vấn đề và phát triển các biện pháp để giải quyết các vấn đề gặp phải. - Hiểu biết ít nhất một Framework API/Unittest - Có khả năng đánh giá về tình trạng dự án, đưa ra quyết định Golive và deadline của kế hoạch. - Ý thức tốt về chất lượng, tinh thần đồng đội và sự đổi mới - Có thể làm việc độc lập"
8,Nhân Viên Tester,https://www.topcv.vn/viec-lam/nhan-vien-tester/1324627.html?ta_source=ITJobs_LinkDetail,Công ty CP Giải pháp Thanh toán Việt Nam (VNPAY),1000+ nhân viên,10 - 25 triệu,Hà Nội,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"- Có ít nhất 01 năm kinh nghiệm làm việc tại vị trí tương đương.- Tốt nghiệp Đại học ngành CNTT, Toán tin, Điện tử viễn thông.- Sử dụng thành thạo các công cụ test và quản lý lỗi.- Hiểu biết về quy trình Test, chiến lược và kỹ thuật test phần mềm... lập tài liệu test tốt.- Chủ động, sáng tạo, nhiệt tình, trách nhiệm trong công việc, có tư duy logic tốt.- Cẩn thận, tỉ mỉ, cần cù, nhanh nhẹn, sức khỏe tốt, có khả năng làm việc độc lập hoặc nhóm với cường độ cao.- Sẵn sàng làm thêm giờ khi có yêu cầu.- Kỹ năng giao tiếp tốt, có khả năng quản lý thời gian.- Ưu tiên: + Các ứng viên đã làm việc theo quy trình phần mềm, có hiểu biết về hệ thống kiểm soát chất lượng phần mềm, QA, QC. + Các ứng viên có kinh nghiệm test ứng dụng trên Mobile, web. + Có kỹ năng đọc/viết tài liệu kỹ thuật bằng tiếng Anh."
9,Chuyên Viên Kỹ Thuật Mạng (Network Engineer),https://www.topcv.vn/viec-lam/chuyen-vien-ky-thuat-mang-network-engineer/1324023.html?ta_source=ITJobs_LinkDetail,Công ty CP Giải pháp Thanh toán Việt Nam (VNPAY),1000+ nhân viên,Thoả thuận,Hồ Chí Minh,Nhân viên,2 năm,Toàn thời gian,Nam,"- Tốt nghiệp Cao Đẳng, Đại Học chuyên ngành Công nghệ thông tin, Công nghệ phần mềm, Điện tử viễn thông,...
- Có ít nhất 02 năm kinh nghiệm ở vị trí tương đương.
- Có kiến thức về Network và Security tương đương với chứng chỉ CCNP / JNCIP hoặc cao hơn
Routing & switching : L3-VPN ; L2-VPN; BGP; EVPN ; OSPF ; IS-IS; FBF (Filter based forwarding) / PBR (Poliicy based routing); VLAN / VXLAN ; STP ; MPLS ; QoS ; Load-balancing
Security: Layer3 / Layer4 security ; Firewall rule; có kiến thức về IPS/IDS
- Hiểu rõ về mô hình OSI / TCP IP
- Có kỹ năng phân tích và giải quyết sự cố; tối ưu hệ thống ; sử dụng thành thạo các công cụ bổ trợ như Sniffer / Wireshark ...
- Có kinh nghiệm hoặc khả năng nghiên cứu các hệ thống mạng SDN, đã từng làm Openstack, Juniper Contrail, Openvswitch hoặc tương đương. Ưu tiên ứng viên vận hành thiết bị Juniper.
- Có tinh thần trách nhiệm cao trong công việc. Thích nghiên cứu, tìm tòi học hỏi.
- Có thể đi công tác và chịu được áp lực cao trong công việc"
10,Salesforce Developer/ Lập Trình Viên Salesforce Lương Từ 300 USD,https://www.topcv.vn/viec-lam/salesforce-developer-lap-trinh-vien-salesforce-luong-tu-300-usd/1300003.html?ta_source=ITJobs_LinkDetail,LOADING SYSTEMS APAC COMPANY LIMITED,100-499 nhân viên,"Trên 3,000 USD",Hà Nội,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"You have a completed college education in the field of ICT (preferably application development);You have experience with and knowledge of software development within Salesforce, for at least 3 years;You have experience with Apex, HTML, Javascript, CSS, JSON or Rest(ful) integrations;You have experience with MS SQL server and writing SQL queries; You are able to work both in a team and independently, organise your work efficiently and, where possible, identify improvements; You have a very good command of the English language;You have good analytical skills and experience with problem analysis and problem solving;You have knowledge of Atlassian tooling (Jira, Bitbucket and Confluence); You are open to new working methods such as SCRUM, DevOps, etc; You are energised by customer or user support; Knowledge and experience with ERP systems is a plus; Knowledge and experience with CAD systems within a programming environment is a plus."
11,Bussiness Development Manager,https://www.topcv.vn/viec-lam/bussiness-development-manager/1303612.html?ta_source=ITJobs_LinkDetail,Công ty CP Giải pháp Thanh toán Việt Nam (VNPAY),1000+ nhân viên,Thoả thuận,Hà Nội,Trưởng/Phó phòng,3 năm,Toàn thời gian,Không yêu cầu,"2.1. Tố chấtĐịnh hướng công việc và mục tiêu nghề nghiệp rõ ràng.Chủ động, trung thực, trách nhiệm.Biết lắng nghe và phản hồi thông tin đến nhân viên hiệu quả.Thích ứng với sự thay đổi.Khả năng giao tiếp, tư vấn, thuyết phục, trình bày tốt.2.2. Kinh nghiệmTốt nghiệp Cao đẳng/Đại học trở lên, ưu tiên các chuyên ngành về QTKD/ Marketing/ CTTTÍt nhất 02 năm kinh nghiệm ở vị trí trưởng nhóm/ Leader/ SupervisorHiểu biết nghiệp vụ liên quan đến giải pháp hóa đơn điện tử & chữ ký số, hiểu biết về phần mềm CRM, kế toán, ERP, máy tính tiền...2.3. Tiềm năngKỹ năng quản trị nhóm, quản trị bản thân tốt.Kỹ năng lập kế hoạch và điều phối và giám sát kế hoạchKỹ năng quản lý thời gian, quản lý ngân sách.Kỹ năng kết hợp, làm việc hiệu quả với Internal và External.Kỹ năng quyết định dựa trên phân tích, tổng hợp dữ liệu, kĩ năng báo cáoKỹ năng giao tiếp, đàm phán, thuyết trình.Kỹ năng tạo động lực cho nhân viên.Thành thạo Microsoft Office, Tiếng Anh tốt là một lợi thế"
12,Software Developer/ Kỹ Sư Phần Mềm Lương Từ 2000USD,https://www.topcv.vn/viec-lam/software-developer-ky-su-phan-mem-luong-tu-2000usd/1300002.html?ta_source=ITJobs_LinkDetail,LOADING SYSTEMS APAC COMPANY LIMITED,100-499 nhân viên,"Trên 2,000 USD",Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"You have a completed HBO education in the field of ICT (preferably application development); You have experience with various programming languages, e.g. Javascript, Java, Python or C#;You have experience with MS SQL server, maintenance plans and writing SQL queries;You have experience with web development (html, css, etc.);You are able to work both in a team and independently, organise your work efficiently and, where possible, identify improvements;You have a very good command of the English language;You have good analytical skills and experience with problem analysis and problem solving; You have knowledge of Atlassian tooling (Jira, Bitbucket and Confluence);You are open to new working methods such as SCRUM, DevOps, etc;You are energised by customer or user support; Knowledge and experience with ERP systems is a plus."
13,"Chuyên Viên Kinh Doanh Online - Marketing (Nữ), Lương Cứng Từ 8 - 10 Triệu, Thu Nhập Theo Năng Lực, Làm Tại Gò Vấp",https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-online-marketing-nu-luong-cung-tu-8-10-trieu-thu-nhap-theo-nang-luc-lam-tai-go-vap/1280100.html?ta_source=ITJobs_LinkDetail,Công Ty TNHH Thương Mại - Dịch Vụ Mrboss,1-9 nhân viên,8 - 10 triệu,Hồ Chí Minh,Nhân viên,1 năm,Toàn thời gian,Nữ,"Có năng lực và mong muốn làm ở vị trí kinh doanh, marketing. Có kinh nghiệm về thiết bị ngành công nghệ thông tin là lợi thếCó kỹ năng đăng bài quảng cáo, làm nội dung giới thiệu sản phẩm và thiết kế cơ bản hình ảnh sản phẩm Am hiểu về các kênh Ads: Facebook Ads, Google Ads, Tiktok Ads, Zalo Ads, v.v...Am hiểu các công cụ Digital Marketing: SEO, SEM, Content Marketing, Social Media Marketing, Email Marketing, v.v...Biết về Coding, đồ họa đơn giản"
14,DEV Unity Fulltime (Junior Và Senior),https://www.topcv.vn/viec-lam/dev-unity-fulltime-junior-va-senior/1322422.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH NTADA,10-24 nhân viên,"Tới 2,000 USD",Hồ Chí Minh,Nhân viên,4 năm,Toàn thời gian,Không yêu cầu,"Tốt nghiệp chuyên ngành CNTT hoặc các chuyên ngành liên quan khác.
Senior tối thiểu 4 năm kinh nghiệm trong mảng Dev Unity.
Có kinh nghiệm phát triển các tựa game, hiểu rõ OOP
Tư duy logic, khả năng nghiên cứu công nghệ tốt.
Làm việc đạt đúng tiến độ, chỉ tiêu được bàn giao, tinh thần trách nhiệm làm việc độc lập cao.
Kỹ năng làm việc nhóm, làm việc độc lập.
Có khả năng học hỏi nhanh, thường xuyên cập nhật các kiến thức mới đáp ứng công việc.
Có khả năng chịu áp lực cao trong công việc.
Làm OT khi công ty yêu cầu đẩy nhanh tiến độ công việc.
Có kinh nghiệm làm backend, game multiplayer reatlime là một điểm cộng."
15,Lập Trình Viên PHP (Senior),https://www.topcv.vn/viec-lam/lap-trinh-vien-php-senior/1334092.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN VINSCHOOL,5000+ nhân viên,Tới 35 triệu,Hà Nội,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"- Tốt nghiệp đại học trở lên, chuyên ngành công nghệ thông tin hoặc liên quan- Thành thạo ngôn ngữ lập trình PHP, có kinh nghiệm sâu một trong các framework: Laravel 5 - 10, CakePHP, Zend, CodeIgniter (Đặc biệt là Laravel)- Thành thạo HTML/Javascript/jQuery/CSS/AJAX.- Thành thạo ít nhất 1 library/framework để phát triển front-end: Bootstrap (3-5), Angular2, VueJS (2-3), ReactJS,v.v...- Thành thạo việc xây dựng và sử dụng web service (XML, JSON)- Thành thạo việc sử dụng các large task, job, query background- Có kinh nghiệm về API Restful- Biết Unit testing- Có kinh nghiệm sử dụng ít nhất 1 hệ quản trị cơ sở dữ liệu MySQL, Postgresql, Oracle, Microsoft SQL Server, MongoDB- Kinh nghiệm devoloper ít nhất 5 năm trở lên.- Có kinh nghiệm quản lý dự án, có khả năng làm việc độc lập, làm việc theo đội/nhóm. có khả năng lập kế hoạch trong công việc.- Ưu tiên ứng viên có hiểu biết 1 trong các công nghệ khác như NodeJS, .NET, Python, Ruby..."
16,Project Manager (PM),https://www.topcv.vn/viec-lam/project-manager-pm/1333871.html?ta_source=ITJobs_LinkDetail,Công ty Cổ phần Lit Group,100-499 nhân viên,25 - 35 triệu,Hà Nội,Quản lý / Giám sát,1 năm,Toàn thời gian,Nam,"A bachelor’s degree in Computer Science, Information Technology, or a related field.Minimum 3 years of experience as a Developer and 1 year as a Project Manager.Mastered at least one project management methodology and is familiar with others (Agile/ Scrum, Waterfall...).Project management: managing the team to carry out the work on time.Problem-solving: identify the source of the issue and find a solution that satisfies the client’s needs.Leadership: motivate the team, and create a positive work environment for the team to complete projects.Fluency in English: Listening, speaking, reading, and writing is a plus."
17,Ruby On Rails Developeer,https://www.topcv.vn/viec-lam/ruby-on-rails-developeer/1307618.html?ta_source=ITJobs_LinkDetail,Công ty Cổ phần Solazu,100-499 nhân viên,Thoả thuận,Hồ Chí Minh,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"Kinh nghiệm 2 năm về framework Ruby on Rails. BackEnd: Open cho các ứng viên có kinh nghiệm 3 năm BackEnd và mong muốn học thêm Ruby on RailsCó kiến thức về HTML, CSS, và JavaScript.Kinh nghiệm với cơ sở dữ liệu quan hệ như PostgreSQL và MySQLKinh nghiệm với hệ thống quản lý phiên bản như GitKinh nghiệm với phương pháp và công cụ phát triển Agile như JiraKhả năng viết mã hiệu quả, dễ bảo trì và có thể tái sử dụngKỹ năng giải quyết vấn đề và phân tích tốtNice to have:Có khả năng làm việc độc lập và làm việc theo nhóm, làm việc ở cường độ cao và chịu áp lực tốt; có tư duy logic, tự học hỏi công nghệ mới nhanh; chủ động và sáng tạo trong công việc.Ham học hỏi, không ngại học hỏi tìm hiểu thêm về Ruby on Rails.Hiểu biết tốt về các công nghệ front-end là điểm cộngCó kinh nghiệm leader là một lợi thế"
18,Nhân Viên IT,https://www.topcv.vn/viec-lam/nhan-vien-it/1331495.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN CÔNG NGHIỆP SAINDECO,25-99 nhân viên,9 - 13 triệu,Hồ Chí Minh,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"- Ưu tiên: Nam
- Tốt nghiệp Cao Đẳng, Đại học chuyên ngành Mạng máy tính, phần cứng, CNTT
- Am hiểu về hệ thống mạng Lan, Wan, internet, hệ điều hành Windows, hệ thống bảo mật.
- Kỹ năng: Cài đặt, sửa chữa thiết bị CNTT
- Từ 2 năm ở vị trí tương đương"
19,Nhân Viên SEO Youtube (Lương + Phụ Cấp + Thưởng Theo Doanh Thu Kênh Upto 100 Triệu),https://www.topcv.vn/viec-lam/nhan-vien-seo-youtube-luong-phu-cap-thuong-theo-doanh-thu-kenh-upto-100-trieu/1321130.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH CÔNG NGHỆ VÀ TRUYỀN THÔNG IGC VIỆT NAM,10-24 nhân viên,6 - 9 triệu,Hà Nội,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"- Nam / Nữ tốt nghiệp CĐ/ ĐH chuyên ngành liên quan: Marketing, Đồ họa,...
- Biết sử dụng cơ bản các phần mềm chỉnh sửa ảnh, edit video như Adobe Photoshop, Premiere, After Effect (Chấp nhận đào tạo thêm)
- Hiểu biết cơ bản về SEO từ khóa (Chấp nhận đào tạo thêm)
- Ưu tiên độ tuổi 1996 - 2001
- Yêu thích âm nhạc
- Có tư duy hình ảnh, bố cục và thẩm mỹ tốt, khả năng tự tìm tòi nghiên cứu.
- Làm việc nhanh nhẹn, chủ động trong công việc.
- Kiên trì, chăm chỉ, tự giác có trách nhiệm với công việc
- Có khả năng chịu áp lực cao, kỹ năng giải quyết vấn đề.
- Gửi các sản phẩm đã làm kèm với CV"
20,Chuyên Viên Vận Hành POS - Hà Nội,https://www.topcv.vn/viec-lam/chuyen-vien-van-hanh-pos-ha-noi/1321783.html?ta_source=ITJobs_LinkDetail,Ngân Hàng TMCP Việt Nam Thịnh Vượng (VPBank),10000+ nhân viên,Thoả thuận,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"1. Trình độ Học vấn​/ Educational QualificationsTốt nghiệp các Trường Đại Học chuyên ngành tài chính, Quản Trị KD, Các Trường Khối Kỹ Thuật Kỹ sư CNTT.Trình độ tiếng Anh tối thiểu đạt 650 điểm TOEIC hoặc tương đương.2. Các Kinh nghiệm liên quan/ Relevant Experience Ưu Tiên các hồ sơ có từ 01 năm kinh nghiệm trong công tác vận hành hệ thống POS/Hệ thống tin học ngân hàng3. Kiến thức/ Chuyên môn có liên Quan/ Relevant Knowledge/ ExpertiseCó kiến thức về hoạt động của máy POSCó kỹ năng và hiểu biết về thẩm định, xác định ngành nghề kinh doanh của ĐVCNT.4. Các Kỹ Năng/ SkillsKỹ năng làm việc nhómKhả năng làm việc độc lập với cường độ công việc cao, phối hợp làm việc nhóm tốt.Khả năng giao tiếp, đàm phán, thuyết phục tốt."
21,Nhân Viên IT Phần Cứng,https://www.topcv.vn/viec-lam/nhan-vien-it-phan-cung/1321459.html?ta_source=ITJobs_LinkDetail,Công ty TNHH CJ Vina Agri,1000+ nhân viên,9 - 13 triệu,Long An,Nhân viên,1 năm,Toàn thời gian,Nam,"Cao đẳng chuyên ngành Công nghệ thông tin, Khoa học máy tính hoặc tương đương.Có ít nhất 01 năm kinh nghiệm trong lĩnh vực có liên quan.Kiến thức về kết nối mạng và các giao thức liên quan đến nền tảng Windows (TCP/IP, WINS, FTP, Telnet, LAN/WAN).Có thể đi công tác."
22,"Nhân Viên Content Creator 1 Năm Kinh Nghiệm Trở Lên ( Lương Cứng 10 – 15 Tr + Thưởng, Thu Nhập Upto 20 Tr)",https://www.topcv.vn/viec-lam/nhan-vien-content-creator-1-nam-kinh-nghiem-tro-len-luong-cung-10-15-tr-thuong-thu-nhap-upto-20-tr/1303557.html?ta_source=ITJobs_LinkDetail,Nha Khoa Gia Đình,25-99 nhân viên,10 - 15 triệu,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"Ứng viên Nữ, 23 – 27 tuổi, đã có kinh nghiệm từ 1 năm trở lênTốt nghiệp trường Báo chí, Sân khấu điện ảnh, truyền thông đa phương tiện ... hoặc các ngành có liên quan văn học, nghệ thuậtCó kinh nghiệm xây dựng kịch bản, phối hợp, tham gia sản xuất videoTrung thực, cầu tiến, có kỹ năng làm việc nhómHiểu biết sơ bộ về các công cụ Photoshop, Illustrator, PremiereKhát khao sáng tạo không ngừngBiết bắt trend, ứng dụng trend và sáng tạo trend mớiMong muốn xây dựng các kênh truyền thông, cộng đồng hàng trăm ngàn, hàng triệu follow"
23,Quản Lý Cửa Hàng (Thiết Bị Apple & Samsung) Tại Bình Dương - Thu Nhập Hấp Dẫn,https://www.topcv.vn/viec-lam/quan-ly-cua-hang-thiet-bi-apple-samsung-tai-binh-duong-thu-nhap-hap-dan/1314179.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHỆ ISTONE,10-24 nhân viên,Trên 10 triệu,Bình Dương,Quản lý / Giám sát,1 năm,Toàn thời gian,Không yêu cầu,"Tốt nghiệp Đại học, cao đẳng các trường Kinh kế, Thương Mại, Tài Chính....Có ít nhất 1-2 năm kinh nghiệm quản lý trong ngành bán lẻ, chuỗi cửa hàng....Có khả năng giao tiếp tốt, xử lý tình huống và giải quyết vấn đềƯu tiên ứng viên có kinh nghiệm làm việc trong lĩnh vực di dộng, công nghệ"
24,Nhân Viên IT Helpdesk/ IT Support Tại Hà Nội Và Thanh Hóa Thu Nhập 8- 10 Triệu,https://www.topcv.vn/viec-lam/nhan-vien-it-helpdesk-it-support-tai-ha-noi-va-thanh-hoa-thu-nhap-8-10-trieu/1214255.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN TƯ VẤN VÀ THƯƠNG MẠI ĐIỆN TỬ NĂM SAO,25-99 nhân viên,8 - 10 triệu,"Hà Nội, Thanh Hoá",Nhân viên,1 năm,Toàn thời gian,Nam,"- Bắt buộc có tối thiểu 1 năm kinh nghiệm- Tốt nghiệp chuyên ngành IT ( Cao Đẳng, Đại Học)- Giới tính: Nam, hình thức ưa nhìn, tác phong nhanh nhẹn, nghiêm túc, có trách nhiệm- Độ tuổi : 1998 -2001- Có khả năng phối hợp làm việc nhóm và độc lập- Chuyên môn và kỹ năng mềm tốt. Nhanh nhẹn, có trách nhiệm, chủ động và có đạo đức nghề nghiệp."
25,IT Help Desk Engineer / IT Support Tại Hà Nội (Thu Nhập Hấp Dẫn),https://www.topcv.vn/viec-lam/it-help-desk-engineer-it-support-tai-ha-noi-thu-nhap-hap-dan/1330414.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH THƯƠNG MẠI CÔNG NGHỆ THÁI BÌNH,25-99 nhân viên,Thoả thuận,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"Required skills
Good analytical and problem solving skills
Able to explain technical problems in a simple terms
Logical thinker
Work well with people
A dedication to continually update knowledge
Up-to-date technical knowledge
Good accurate records keepingYears of experience
Minimum 02 years in IT Support/Helpdesk
Educational Qualifications
Degree in Information Technology (or equivalent)
Cisco Certified Network Professional (CCNP)
Microsoft Certified Solutions Expert (MCSE)
ITIL v3 (is plus)"
