Title,Link,Company,Salary,Locations,Level,Year of Experience,Contract Type,Sex,Skills
Nhân Viên IT SEO Web,https://www.topcv.vn/viec-lam/nhan-vien-it-seo-web/1288942.html?ta_source=ITJobs_LinkDetail,HICO PHỤ KIỆN,12 - 16 triệu,Hồ Chí Minh,Nhân viên,1 năm,Toàn thời gian,Nam,"Có am hiểu về quảng cáo facebook, seo web, seo từ khoá, marketting onlineTốt nghiệp Trung cấp trở lên. Độ tuổi: từ 1992 – 1999.Biết tổng quát về Photoshop, thiết kế là lợi thế.Cty cho đi học, đào tạo ở các cty đối tác của Hico hoặc đi học thêm nghiệp vụ."
Junior Developer,https://www.topcv.vn/viec-lam/junior-developer/1288808.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH THIẾT BỊ MINH TÂM,Thoả thuận,Hồ Chí Minh,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"- Tốt nghiệp đại học, cao đẳng các khối ngành máy tính, quản trị hệ thống thông tin, lập trình,... liên quan tới CNTT- Ít nhất 1 năm kinh nghiệm ở vị trí tương đương- Kiến thức về ngôn ngữ .Net.- Kiến thức và tư duy lập trình hướng đối tượng (OOP)- Kiến thức về Web, HTML, CSS, JavaScript- Kinh nghiệm hoặc kiến thức sử dụng: ReactJS, .Net MVC, C#Winform, Rest API, NodeJS là một lợi thế- Kinh nghiệm hoặc kiến thức về hệ thống quản lý source code: Git, SVN là một lợi thế.-Thành thạo Tin học Văn phòng-Khà năng giao tiếp, đọc hiểu tiếng AnhKiến thức cơ bản về Công nghệ-Kiến thức cơ bản về Công nghệ-Sẵn sàng làm thêm giờ khi phát sinh yêu cầu"
R&D Executive,https://www.topcv.vn/viec-lam/rd-executive/1288693.html?ta_source=ITJobs_LinkDetail,Hamsa Corporation,15 - 18 triệu,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"Proven experience in market research, product development, or a related field.Strong understanding of the Shopify ecosystem and e-commerce industry.Excellent analytical and problem-solving skills.Creative and innovative mindset with a passion for building user-centric solutions.Strong communication and collaboration skills.Ability to work independently and as part of a team.Experience with prototyping tools and user experience (UX) design principles is a plus."
Nhân Viên 2D Artist (Fresher - Middle),https://www.topcv.vn/viec-lam/nhan-vien-2d-artist-fresher-middle/1288923.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN APUS MEDIA,10 - 20 triệu,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"Đam mê với Game và đồ họa Game Kỹ năng Digital drawing tốt Khả năng xử lý các vấn đề chuyên môn tốt Có kinh nghiệm về thiết kế nhân vật, môi trường, UI Am hiểu về Photoshop hay các công cụ art digital khác Có kiến thức hội họa Tính cam kết và tinh thần trách nhiệm cao Ham học hỏi, chủ động nâng cao kiến thức và kỹ năng trong công việc Hiểu về 3D modeling, Game design, Animation là một lợi thế"
Data Engineer,https://www.topcv.vn/viec-lam/data-engineer/1288658.html?ta_source=ITJobs_LinkDetail,Công ty TNHH Công Nghệ và Thương Mại Lifesup,25 - 40 triệu,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"Có kinh nghiệm làm việc trong mảng Data Engineer từ 2 năm.Thành thạo với công cụ ETL như ODI, Data Stage...Có kinh nghiệm với cơ sở dữ liệu SQL, PL/ SQL, Oracle...Có kiến thức tốt về các ngôn ngữ thông dụng Hadoop, spark,airflow...Nắm chắc việc xây dựng lập trình ETL Job, báo cáo BI, phát hiện và sửa lỗi, sử dụng Jira.Quản lý tài nguyên hệ thống: Hadoop YarnQuản trị dữ liệu: Atlas, Ranger, KNOX"
Nhân Viên Kỹ Thuật Triển Khai Và Bảo Trì,https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-trien-khai-va-bao-tri/1288892.html?ta_source=ITJobs_LinkDetail,Công ty Cổ phần viễn thông FPT,7.5 - 13 triệu,Bà Rịa-Vũng Tàu,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Nam,"Nam, có sức khỏe tốt, tuổi từ 18 – 30. Siêng năng, có phương tiện di chuyển cá nhân. Tốt nghiệp Trung cấp, Cao đẳng chuyên ngành Điện: Điện – điện tử, Điện công nghiệp, Điện tử Công nghiệp, Điện dân dụng, Điện lạnh, Điện tử viễn thông hoặc các chuyên ngành liên quan về điệnCó kinh nghiệm sửa chữa, lắp đặt hạ tầng viễn thông, Internet, điện lực, truyền hình cáp ... là 1 lợi thế. Có tư duy luôn lấy khách hàng làm trọng tâm.Ghi chú: FPT Telecom không thu bất kỳ chi phí nào của Ứng viên, Sinh viên trong quá trình tuyển dụng, thực tập."
QC Engineer,https://www.topcv.vn/viec-lam/qc-engineer/1288861.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH INIPOD,Thoả thuận,Hồ Chí Minh,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"Job Qualification & Requirements Graduated from university with a degree in Information Technology or equivalent. At least 1 year experience in testing web apps and performance testing. Ability to read technical documents and requirements in English. Ability to write clear and concise test case, bug report in English. Great attention to detail and problem-solving abilities. Relevant skills and knowledge Communication skills and strong analytical and decision-making skills. Strong team player with a (can – do) attitude. Focus on results and high responsibility. Ability to work on multiple projects at the same time and complete tasks in a timely manner. Math skills – calibrating, verifying the correct number of dashboard or reports. Experience and knowledge on automation testing tool (Jira, Selenium, Katalon, etc.) is an advantage"
Graphic Designer Game,https://www.topcv.vn/viec-lam/graphic-designer-game/1288660.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN GGO,Thoả thuận,Hồ Chí Minh,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"Có đam mê với dòng game MMO, kinh nghiệm tối thiểu 1 nămTừng chơi nhiều thể loại game và quyết tâm theo nghề Kịch bản game (Game Designer)Am hiểu kiến thức về các thể loại game mobile, web...Am hiểu các yếu tố khi thiết kế game như: UI, UX, Game BalanceAm hiểu thị trường game, xu thế game, sở thích của người chơiKhả năng diễn đạt, trình bày rõ ràng, dễ hiểu, làm việc việc nhóm tốtKhả năng tư duy logic và sáng tạo tốtNộp Cv kèm Portfolio"
Lập Trình Viên Java,https://www.topcv.vn/viec-lam/lap-trinh-vien-java/1288946.html?ta_source=ITJobs_LinkDetail,Bệnh Viện Đa Khoa Quốc Tế Thu Cúc – Chi Nhánh Công Ty Cổ Phần Y Khoa & Thẩm Mỹ Thu Cúc,Thoả thuận,Hà Nội,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"- Ưu tiên tốt nghiệp Đại học liên quan đến Công nghệ thông tin - Có kinh nghiệm làm việc với HTML, Javascript, CSS là ưu thế - Có ít nhất từ 3 năm kinh nghiệm lập trình Java, đã từng làm việc với Spring boot, hệ sinh thái Spring cloud. - Có kiến thức, kinh nghiệm về: lập trình hệ thống lõi, lập trình web (Restful, SOAP, Java based webserivces), lập trình hướng đối tượng (OOP), lập trình trên các hệ quản trị cơ sở dữ liệu có cấu trúc MariaDB, PostgresDB - Đã từng làm việc với MongoDB, HBase, RabbitMQ hoặc các NoSQL là một lợi thế"
Fullstack Mobile Developer (Flutter + IOS/Android),https://www.topcv.vn/viec-lam/fullstack-mobile-developer-flutter-ios-android/1081123.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN TVT GROUP,12 - 16 triệu,Hồ Chí Minh,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"At a minimum, you should have a bachelor’s degree in Software Development or equivalentHave solid understanding of the full software development life cycleAt least 2 years full-time professional experience of working in Flutter DevelopmentAnd at least 2 years full-time professional experience of working in iOS with Objective-C & Swift or Android with Kotlin for Native DevelopmentExperience using Restful APIs to integrate mobile applications to server-side systemsProfound experience in Flutter Package management, native supported Android/iOS is PlusGood understanding of SCRUM/Agile methodologies"
Java Technical Specialist (Springboot),https://www.topcv.vn/viec-lam/java-technical-specialist-springboot/1288922.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH RAKUS VIỆT NAM,32 - 54.8 triệu,Hồ Chí Minh,Nhân viên,4 năm,Toàn thời gian,Không yêu cầu,"Yêu cầu cơ bản:Có ít nhất từ 4 năm kinh nghiệm làm việc với Java trong các dự án phát triển Web Application.Có kinh nghiệm làm việc với framework Spring hoặc Spring boot.Có kinh nghiệm làm việc với JUnit.Có kinh nghiệm hoặc kiến thức về DDD là 1 lợi thế.Có kinh nghiệm làm việc với PostgresSQL/MySQL.Có khả năng research để giải quyết các vấn đề về kĩ thuật.Đọc hiểu tài liệu bằng tiếng Anh tốt.Ưu tiên:Đã từng làm Team Leader/Senior dự án tối thiểu từ 2 developers trở lên.Có kinh nghiệm trong việc follow và support kĩ thuật cho member trong team.Có kinh nghiệm review code.Có kinh nghiệm phỏng vấn và đánh giá skill technical của PG.Có khả năng đọc, hiểu và phân tích yêu cầu nghiệp vụ từ phía khách hàng.Có khả năng phát hiện và giải quyết vấn đề tốt.Có khả năng vượt qua áp lực cao trong công việc.Có khả năng tạo/trình bày tài liệu kĩ thuật dễ hiểu.Có khả năng giao tiếp tốt.Có khả năng training cho member.Hiểu quy trình và phong cách làm việc tại công ty Nhật là một lợi thế."
Java Developer (Springboot),https://www.topcv.vn/viec-lam/java-developer-springboot/1288894.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH RAKUS VIỆT NAM,22.8 - 38.8 triệu,Hồ Chí Minh,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"Yêu cầu cơ bản:Có ít nhất từ 2 năm kinh nghiệm làm việc với Java trong các dự án phát triển Web Application.Có kinh nghiệm làm việc với một (hoặc nhiều) trong các framework Spring, Spring boot, ...Có kinh nghiệm làm việc với JUnitCó kinh nghiệm làm việc với PostgresSQL/MySQLƯu tiên:Có kinh nghiệm hoặc kiến thức về DDD là 1 lợi thếCó khả năng research để giải quyết các vấn đề về kĩ thuật.Đọc hiểu tài liệu bằng tiếng Anh tốtCó khả năng đọc, hiểu và phân tích yêu cầu nghiệp vụ từ phía khách hàngCó khả năng phát hiện và giải quyết vấn đề tốtCó khả năng vượt qua áp lực cao trong công việcCó khả năng tạo/trình bày tài liệu kĩ thuật dễ hiểuCó khả năng giao tiếp tốtCó khả năng tạo tài liệu chia sẻ kiến thức với đồng nghiệpHiểu quy trình và phong cách làm việc tại công ty Nhật là một lợi thế."
Middle Devops Engineer - Không Yêu Cầu Tiếng Anh,https://www.topcv.vn/viec-lam/middle-devops-engineer-khong-yeu-cau-tieng-anh/1288915.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH VBA TECHNOLOGY,Thoả thuận,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"Experience with cloud services is essential, in particular, our core AWS Technologies(EC2, EKS, ECS, Lambda, S3, SQS, SNS, & Cloud Watch)Experience with Docker, Kubernetes, or other container orchestration tools.Experience of CICD deployments, software release, deployment strategies, disposableenvironments.Knowledge of version control systems, such as Git.Knowledge of configuration management tools or iaC (e.g., Terraform, Ansible).Knowledge in web technologies (CDN, Nginx, Caching, MySQL, Redis)."
Nhân Viên IT,https://www.topcv.vn/viec-lam/nhan-vien-it/1286752.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH TESSELLATION HÒA BÌNH,Thoả thuận,Hoà Bình,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"Tốt nghiệp đại họcChứng chỉ CCNA, MCSACó từ 2 năm kinh nghiệm trở lênTiếng Anh cơ bản: Có khả năng đọc và hiểu tất cả các tài liệu I.T nội bộ/ bên ngoài (hồ sơ/ hướng dẫn sử dụng, v.v.)Kỹ năng Giao tiếp/ Lắng nghe: Khả năng giao tiếp hiệu quả ở tất cả các cấp trong nội bộ tổ chức và bên ngoài trong tất cả các nhà máyKỹ năng giải quyết vấn đề: Khả năng giải quyết các vấn đề khó khăn với các giải pháp kịp thời và hiệu quảLàm việc chăm chỉSẵn sàng học hỏiNhiệt tình"
Backend Developer Nodejs (Nestjs),https://www.topcv.vn/viec-lam/backend-developer-nodejs-nestjs/1228226.html?ta_source=ITJobs_LinkDetail,XIPAT FLEXIBLE SOLUTIONS COMPANY LIMITED,15 - 35 triệu,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"At least 2 year of experience working with NodejsProficient in programming with NodejsExperience in programming with Nodejs framework: NestjsKnowledge of TypeScript, MySQLExperience working with GraphQL API is preferred; Git (Github, Bitbucket, Gitlab...)Able to write and communicate in basic + technical English"
IT Comtor,https://www.topcv.vn/viec-lam/it-comtor/1288535.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN PHẦN MỀM MIRAI VIỆT NAM,Thoả thuận,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"● Có từ 1 năm kinh nghiệm trở lên ở vị trí biên phiên dịch trong lĩnh vực IT, định hướng BrSE, Business Analyst, Project Manager làm việc trực tiếp với khách hàng Nhật Bản.● Tiếng Nhật sử dụng thành thạo (trình độ tương đương N2 trở lên).● Có kỹ năng quản lý thời gian và giải quyết vấn đề tốt.● Có kiến thức, kinh nghiệm về quy trình phát triển phần mềm và quản lý dự án.● Có kinh nghiệm sử dụng các công cụ quản lý dự án như Microsoft Project, JIRA và Trello.● Có kiến thức về các phương pháp Agile và Waterfall."
Junior Java Developer,https://www.topcv.vn/viec-lam/junior-java-developer/1288871.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH VBA TECHNOLOGY,Thoả thuận,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"• Degree in Computer Science, Engineering, or a relevant field• At least 1 years of experience as Java developer• Experience in Spring base application and Microservices application.• Experience in kafka, redis• Knowledge of multiple front-end languages and libraries (e.g., HTML/ CSS, JavaScript,jQuery)• Familiarity with databases (e.g., MySQL, MongoDB), web servers (e.g., Apache)• Experience with cloud services (e.g., AWS), Vuejs, Reactjs would be advantageous.• Good communication and problem-solving skills."
Senior Tester,https://www.topcv.vn/viec-lam/senior-tester/1288884.html?ta_source=ITJobs_LinkDetail,FPT Information System,27 - 30 triệu,Hồ Chí Minh,Nhân viên,4 năm,Toàn thời gian,Không yêu cầu,"Có ít nhất 4 năm kinh nghiệm Tester/ QCNắm vững quy trình kiểm thử, sử dụng tốt các công cụ và kỹ thuật kiểm thử phần mềm Khả năng việc độc lập và teamwork tốt, chịu được áp lực và hoàn thành mục tiêu được giao đúng hạnCó kinh nghiệm kiểm thử App (Mobile) và Web; sử dụng tool để test API,Có kiến thức về Performance Test là một lợi thếƯu tiên ứng viên có khả năng hoặc định hướng lead team"
System Admin (Junior),https://www.topcv.vn/viec-lam/system-admin-junior/1288799.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN METAWAY HOLDINGS,15 - 20 triệu,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Nam,"Tốt nghiệp các ngành CNTT, Khoa học máy tính, Điện tử viễn thôngCó 1-2 năm kinh nghiệm ở vị trí System admin, DevOpsCó kiến thức về mạng, hệ thốngCó kinh nghiệm vận hành hệ điều hành dựa trên LinuxHiểu biết về cơ sở dữ liệu, có kiến thức về CICDCó kinh nghiệm về Docker, K8SCó kinh nghiệm xây dựng/vận hành CI/CD ToolChain như Jenkins, Nexus, v.v.Có kinh nghiệm/hiểu biết với một trong các ngôn ngữ lập trình như Java, Python, Golang,.., ngôn ngữ script như bash scriptCó kinh nghiệm xây dựng các hệ thống dựa trên đám mây công cộng (mạng ảo, VM, lưu trữ, sao lưu, v.v.)Khả năng tìm kiếm thông tin và đọc hiểu các tài liệu nghiên cứu bằng tiếng Anh.Có hiểu biết về mạng máy tính/an ninh mạng là một lợi thế.Tư duy chủ động, sẵn sàng nghiên cứu, học hỏi kỹ thuật mới và chia sẻ với các thành viên trong nhóm.Cẩn thận, tỉ mỉ, chú ý đến chi tiết và tư duy logic"
Chuyên Viên Quản Lý Chất Lượng (Dự Án IT),https://www.topcv.vn/viec-lam/chuyen-vien-quan-ly-chat-luong-du-an-it/1288813.html?ta_source=ITJobs_LinkDetail,Công ty An ninh mạng Viettel- Chi nhánh Tập đoàn Công nghiệp- Viễn thông quân đội,Thoả thuận,Hà Nội,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"Từ 1 năm kinh nghiệm ở vị trí Process Quality AssuranceCó kiến thức về quy trình quản lý chất lượng như CMMi, ISO 27001Có hiểu biết về các quy trình phát triển phần mềm như Agile/Scrum, Waterfall, v.v Có kiến thức cơ bản về CNTTCó kiến thức cơ bản về các lỗ hổng ATTT là một lợi thế.Kỹ năng thuyết trình mạnh lạc, lưu loát Kỹ năng làm việc nhóm, phối hợp tương tác tốt. Có hiểu biết về stakeholder management là lợi thế Có khả năng tổng hợp báo cáo; có khả năng sử dụng tốt MS Office Có tính cam kết tuân thủ cao"
Nhân Viên Thiết Kế,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke/1288734.html?ta_source=ITJobs_LinkDetail,Công Ty Cổ Phần Thương Mại Việt Hồng,13 - 15 triệu,Hà Nội,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Nam,"Kiến thứcNắm vững các quy định pháp luật về xây dựng, tiêu chuẩn xây dựng.
Am hiểu các loại vật tư, nguyên vật liệu liên quan đến hoạt động thi công của Công ty.
Có kiến thức về đấu thầu xây dựng công trình.
Kỹ năng
Sử dụng thành thạo các phần mềm hỗ trợ thiết kế.
Thành thạo tin học văn phòng Word, Excel, ... và các phần mềm Autocad, Project, dự toán
Thành thạo trong thiết kế thi công công trình, lập dự toán
Sử dụng thành thạo các máy móc, thiết bị văn phòng như máy photo, fax, ...
Khả năng
Khả năng làm việc độc lập, chịu áp lực cao trong công việc
Cẩn thận, chi tiết, trung thực.
Kinh nghiệm: 02 năm làm việc trong những lĩnh vực thiết kế thi công công trình xây dựng"
Lập Trình Viên Fullstack Java Web And .Net,https://www.topcv.vn/viec-lam/lap-trinh-vien-fullstack-java-web-and-net/1176557.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH VERISERVE VIỆT NAM,Tới 46 triệu,Hà Nội,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"- Tốt nghiệp đại học khối ngành CNTT.- Kinh nghiệm làm việc với Java web và .Net- Hiểu biết về các khái niệm và công nghệ liên quan đến phát triển phần mềm như RESTful API, caching, message queues.- Có kỹ năng tư duy logic và thuật toán tốt, phân tích và giải quyết vấn đề.- Có khả năng viết code sạch, tập trung vào hiệu suất, có thể tái sử dụng và dễ hiểu.- Có kinh nghiệm về kiến trúc microservices là một lợi thế."
Chuyên Viên Mua Hàng,https://www.topcv.vn/viec-lam/chuyen-vien-mua-hang/1288507.html?ta_source=ITJobs_LinkDetail,Tập đoàn FPT,Thoả thuận,Hà Nội,Nhân viên,5 năm,Toàn thời gian,Không yêu cầu,"Tốt nghiệp Đại học trở lên, chuyên ngành logistic, kinh tế, kế toán,...Có kinh nghiệm tối thiểu 3 năm ở vị trí mua sắm, 2 năm kinh nghiệm mua sắm mảng ICT, có kinh nghiệm mua mảng sửa chữa cải tạo tòa nhà văn phòng, các hệ thống gắn liền với tòa nhà cũng như thiết bị nội thất văn phòng là một lợi thếCó kinh nghiệm mua sắm mảng marcomCó khả năng phân tích dữ liệu và đánh giá thị trường, giao tiếp tốt, biết cách xây dựng các mối quan hệ với nhà cung ứng.Trung thực, chăm chỉ, có tinh thần trách nhiệm và chịu áp lực công việc.Khả năng đọc hiểu, giao tiếp bằng Tiếng Anh."
"Nhân Viên Kỹ Thuật CNTT, Điện - Điện Tử",https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-cntt-dien-dien-tu/1288324.html?ta_source=ITJobs_LinkDetail,Công ty TNHH MTV HN DOTNET,6 - 10 triệu,Gia Lai,Nhân viên,1 năm,Toàn thời gian,Nam,"Tốt nghiệp từ trung cấp trở lên chuyên ngành CNTT hoặc điện tử viễn thông.Có kiến thức tốt về phần cứng máy tính và các thiết bị mạng, camera an ninh, giám sát...Có ý thức kỷ luật cao, có tinh thần cầu tiến, có khả năng làm việc độc lập.Ưu tiên các ứng viên có kiến thức tốt về CNTT và Điện tử viễn thông, có kinh nghiệm về các giải pháp CNTT & Điện tử viễn thông."
Nhân Viên Facebook Ads,https://www.topcv.vn/viec-lam/nhan-vien-facebook-ads/1286114.html?ta_source=ITJobs_LinkDetail,Hộ Kinh Doanh Thẩm Mỹ Haberi - MT,15 - 35 triệu,Hồ Chí Minh,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"• Tối thiểu từ 3 năm kinh nghiệm chạy Facebook Ads • Ưu tiên ứng viên trong lĩnh vực: Thẫm Mỹ, Y tế sức khỏe, phun xăm.....• Có khả năng đọc và phân tích số liệu; chủ động học hỏi và nghiên cứu kiến thức mới • Có trách nhiệm cao trong công việc, mong muốn học hỏi phát triển về Digital Marketing"
.Net Developer (Winform),https://www.topcv.vn/viec-lam/net-developer-winform/1288639.html?ta_source=ITJobs_LinkDetail,FPT Information System,Thoả thuận,Hồ Chí Minh,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"Tốt nghiệp CĐ/ĐH chuyên ngành Công nghệ thông tin hoặc có liên quan;Thành thạo .NET framework, winform;Có kinh nghiệm làm việc với SQL Server;Tối thiểu từ 5 năm kinh nghiệm ở vị trí tương đương, ưu tiên ứng viên có kinh nghiệm với nghiệp vụ Logistic, tờ khai hải quan (eCustom)Có kiến thức và tư duy lập trình hướng đối tượng (OOP);Ưu tiên có kinh nghiệm với HTML5, CSS, JavaScript, Boostrap, Webservices; Angular/ReactJS;Ưu tiên có kiến thức về phân tích thiết kế lập trình và quy trình phát triển phần mềm;Có khả năng nghiên cứu và nắm bắt các công nghệ mới;Tiếng Anh: có khả năng giao tiếp với khách hàng"
Unity Developer (Game Developer),https://www.topcv.vn/viec-lam/unity-developer-game-developer/683948.html?ta_source=ITJobs_LinkDetail,Công ty cổ phần HIGAME,13 - 40 triệu,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"Yêu thích làm gameThành thạo UnityCó thể làm việc fulltime từ thứ 2 - thứ 6Có kinh nghiệm 1 năm trở lên ở vị trí tương tự, hiểu biết về Design Pattern, Unity EngineKhả năng tư duy, sáng tạo tốtCó nền tảng tư duy thuật toán, cấu trúc giải thuật, tư duy logic tốt.Có trách nhiệm cao trong công việc, thái độ cầu tiến và ham học hỏi công nghệ mớiCó khả năng đọc hiểu tài liệu bằng Tiếng Anh là một lợi thế"
Nhân Viên Digital Marketing,https://www.topcv.vn/viec-lam/nhan-vien-digital-marketing/1286129.html?ta_source=ITJobs_LinkDetail,Hộ Kinh Doanh Thẩm Mỹ Haberi - MT,20 - 80 triệu,Hồ Chí Minh,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"- Tối thiểu từ 1 năm kinh nghiệm chạy facebook ads...am hiểu về digital marketing. - Ưu tiên từng chạy Ads ngành Spa Thẩm mỹ, Nha khoa, phun xăm - Biết đo lường hiệu quả và bám sát KPI - Ham học hỏi, chăm chỉ, cầu tiến - Có trách nhiệm với ngân sách quảng cáo và mục tiêu công việc được giao"
IT Support,https://www.topcv.vn/viec-lam/it-support/1286880.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH YOUMED VIỆT NAM,7 - 9 triệu,Hồ Chí Minh,Nhân viên,Dưới 1 năm,Toàn thời gian,Không yêu cầu,"Có kinh nghiệm cơ bản về máy tính, phần mềm.Nhiệt tình trong công việc, trung thực, cẩn thận, cầu toàn.Có tinh thần học hỏi, phải triển bản thân ở lĩnh vực IT Helpdesk.Làm việc vào buổi tối (1-2 buổi/tuần)."
Chuyên Viên Phân Tích Dữ Liệu,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-du-lieu/1288632.html?ta_source=ITJobs_LinkDetail,NHÀ SÁCH TIẾN THỌ,15 - 20 triệu,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"1.Yêu cầu : Trình độ học vấn : Đại họcCó kinh nghiệm 02 năm trở lên ở các vị trí tương đương.Chuyên ngành Hệ thống thông tin quản lý, tài chính doanh nghiệp.2. Năng lực cần thiết :Am hiểu về chuyên môn vận hành, quản trị dự án (đặc biệt là Doanh nghiệp kinh doanh theo mô hình chuỗiNắm vững chuyên môn, nghiệp vụ.Sử dụng thành thạo Microsoft office, Power BI. Hiểu biết về SQL, Python..."
Nhân Viên Triển Khai Phần Mềm,https://www.topcv.vn/viec-lam/nhan-vien-trien-khai-phan-mem/1288698.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN CÔNG NGHỆ DCORP,Tới 10 triệu,Hồ Chí Minh,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"ĐỂ THỰC HIỆN CÁC CÔNG VIỆC TRÊN, BẠN CẦN:Có từ 1 - 3 năm kinh nghiệm làm việc tại các vị trí liên quan đến Triển khai phần mềmKiến thức tin học cơ bản tốt: sử dụng máy tính, quản trị windows, cài đặt windows và các phần mềm tiện ích...Sẵn sàng làm việc theo dạng dự án (triển khai linh hoạt ngoài giờ...)Có thái độ tích cực, khiêm nhường, kiên trì, bền bỉCó sức khỏe tốt, ổn định, giọng nói dễ nghe, có khả năng bình tĩnh xử lý các tình huống phát sinh và chủ động trong công việc. ƯU TIÊNỨng viên có kinh nghiệm sử dụng các phần mềm hỗ trợ công việc.Ứng viên đã biết hoặc có kinh nghiệm trực tổng đài dịch vụ; có kiến thức vận hành, sử dụng các phần mềm trong lĩnh vực nhà hàng, khách sạn, chuỗi bán lẻ, cửa hàng ăn uống."
Nhân Viên IT Helpdesk,https://www.topcv.vn/viec-lam/nhan-vien-it-helpdesk/1283422.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN MBC STUDIO,10 - 13 triệu,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"- Có kinh nghiệm làm IT Helpdesk/ IT Support tối thiểu 2 năm- Biết cài đặt hệ điều hành, các công cụ, phần mềm văn phòng- Có kỹ năng xử lý các sự cố liên quan đến modem, thiết bị switch, ... - Nhiệt tình, cẩn thận, có trách nhiệm với công việc- Tốt nghiệp CĐ, ĐH các chuyên ngành Công nghệ thông tin, Kỹ thuật máy tính, .."
Kỹ Thuật Viên Chăm Sóc Khách Hàng Tại Nhà,https://www.topcv.vn/viec-lam/ky-thuat-vien-cham-soc-khach-hang-tai-nha/1287643.html?ta_source=ITJobs_LinkDetail,Công ty Cổ phần viễn thông FPT,8 - 15 triệu,Bà Rịa-Vũng Tàu,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Nam,"Bằng Trung cấp CNTT trở lênNam, dưới 30 tuổiƯu tiên ứng viên ở tại các xã: Phước Tân - Phước Bửu - Xuyên Mộc"
PHP Developer,https://www.topcv.vn/viec-lam/php-developer/1288622.html?ta_source=ITJobs_LinkDetail,Công ty cổ phần BEE TECH ASIA,10 - 20 triệu,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"• Có từ 1-2 năm kinh nghiệm dự án thực tế dự án PHP• Có kinh nghiệm với framework Laravel • Có kinh nghiệm với VueJS • Nắm vững OOP • Có kiến thức về HTML/CSS/JS • Có kiến thức về SQL(Mysql, Oracle, Postgresql,...), GIT/SVN • Nắm vững kiến thức về MVC, WebService, RESTful API • Nhanh nhẹn, tư duy logic tốt, có tinh thần cầu tiến trong công việc"
