Title,Link,Company,Salary,Locations,Level,Year of Experience,Contract Type,Sex,Skills
Back Office Manager (Trưởng Phòng Hành Chính Nhân Sự) Tại Hồ Chí Minh,https://www.topcv.vn/viec-lam/back-office-manager-truong-phong-hanh-chinh-nhan-su-tai-ho-chi-minh/1287603.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN CÔNG NGHỆ NAMI,Thoả thuận,Hồ Chí Minh,Trưởng/Phó phòng,3 năm,Toàn thời gian,Không yêu cầu,"- Bachelor's degree in Business Administration, Accounting, Finance, or a related field.
- 3+ years of progressive experience in operations management, with demonstrable experience in finance and HR.
- Literacy in basic finance documents
- Strong analytical, problem-solving, and decision-making abilities.
- Excellent communication and interpersonal skills, with the ability to build positive relationships across teams.
- Demonstrated ability to lead and motivate teams.- Experience in the technology industry
- Familiarity with AI concepts and applications"
ReactJS SmartTV Developer - Lương Từ 16 -25 Triệu,https://www.topcv.vn/brand/congnghiepvienthongquandoi/tuyen-dung/reactjs-smarttv-developer-luong-tu-16-25-trieu-j1289444.html?ta_source=ITJobs_LinkDetail,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,16 - 25 triệu,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"1. Trình độ: Tốt nghiệp đại học loại khá trở lên các ngành Công nghệ thông tin, Kỹ thuật phần mềm hoặc các ngành liên quan2. Trình độ tiếng Anh: chứng chỉ TOEIC, TOEFL hoặc IELTS tương đương với điểm TOEIC – 550 điểm trở lên.3. Kinh nghiệm: Có trên 1 năm kinh nghiệm về thiết kế, phát triển và triển khai ứng dụng phần mềm trên nền tảng Tizen/WebOS4. Kỹ năng- Có khả năng phát triển 1 ứng dụng hoàn chỉnh trên nền tảng smartTV Tizen/WebOS bằng ngôn ngữ lập trình ReactJS- Có khả năng tối ưu hiệu năng dựa trên hiểu biết sâu về ngôn ngữ lập trình ReactJS cho các dòng smartTV Tizen/WebOS- Có kiến thức về cơ chế xác thực, mã hóa dữ liệu, cơ chế xử lý tuần tự, song song, đa luồng, đa tiến trình- Có kiến thức về UI/UX của ứng dụng trên nền tảng smartTV Tizen/WebOS- Có khả năng triển khai ứng dụng lên môi trường test và môi trường public qua kho ứng dụng tương ứng.- Có hiểu biết và áp dụng thành thục quy trình phát triển phần mềm bằng phương pháp Agile"""
"Nhân Viên Thiết Kế Đồ Họa / Graphic Design (Lương 9 - 15 Triệu, Thủ Đức)",https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-do-hoa-graphic-design-luong-9-15-trieu-thu-duc/1290153.html?ta_source=ITJobs_LinkDetail,Công ty TNHH May Mặc GFC,9 - 15 triệu,Hồ Chí Minh,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"- Tốt nghiệp cao đẳng trở lên.
- Có ít nhất 2 năm kinh nghiệm làm designer, đã từng làm việc với các nhãn hàng thời trang là 1 lợi thế.
 - Sử dụng thành thạo các phần mềm như: Photoshop, Illustrator là điều bắt buộc.
- Có khả năng tư duy sáng tạo, phân tích nội dung thiết kế, tạo mẫu thiết kế, lên mẫu, phát triển ý tưởng thiết kế.
- Có kinh nghiệm thiết kế in ấn - quảng cáo.
- Ưu tiên ứng viên biết thêm các công việc như: Marketing, viết content, SEO web, quản trị fanpage và website.
- Kỹ năng chụp hình, quay video tốt là một lợi thế.
3. QUYỀN LỢI ĐƯỢC HƯỞNG"
Tester Nữ (Có Kinh Nghiệm) - Tại Hà Nội,https://www.topcv.vn/viec-lam/tester-nu-co-kinh-nghiem-tai-ha-noi/1261111.html?ta_source=ITJobs_LinkDetail,MochiMochi,Thoả thuận,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Nữ,Đã có tối thiểu 1 năm kinh nghiệm trong các công việc tương tự Kỹ năng đọc hiểu tiếng Anh cơ bảnCởi mở và sẵn sàng học hỏiGửi kèm manual/automation testcase về UI/UX/Api/DB đã từng thực hiện trong CV ứng tuyển
Java Android Developer - Lương Từ 16 - 25 Triệu,https://www.topcv.vn/brand/congnghiepvienthongquandoi/tuyen-dung/java-android-developer-luong-tu-16-25-trieu-j1289420.html?ta_source=ITJobs_LinkDetail,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,16 - 25 triệu,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"1. Trình độ: Tốt nghiệp đại học loại khá trở lên các ngành Công nghệ thông tin, Kỹ thuật phần mềm hoặc các ngành liên quan2. Trình độ tiếng Anh: chứng chỉ TOEIC, TOEFL hoặc IELTS tương đương với điểm TOEIC – 550 điểm trở lên.3. Kinh nghiệm: Có trên 1 năm kinh nghiệm về thiết kế, phát triển và triển khai ứng dụng phần mềm trên nền tảng Android4. Kỹ năng- Có khả năng phát triển 1 ứng dụng hoàn chỉnh trên nền tảng Android bằng ngôn ngữ lập trình Java- Có khả năng tối ưu hiệu năng dựa trên hiểu biết sâu về ngôn ngữ lập trình- Có kiến thức về cơ chế xác thực, mã hóa dữ liệu, cơ chế xử lý tuần tự, song song, đa luồng, đa tiến trình- Có hiểu biết về UI/UX của ứng dụng trên nền tảng android (mobile và smartTV)- Có khả năng triển khai ứng dụng lên kho ứng dụng Playstore, triển khai được theo môi trường test, enterprise, public.- Có hiểu biết về tối ưu kết quả tìm kiếm ứng dụng trên kho ứng dụng của Google (ASO)- Có hiểu biết và áp dụng thành thục quy trình phát triển phần mềm bằng phương pháp Agile"""
Back-End Developer (Node.JS/ JavaScript),https://www.topcv.vn/viec-lam/back-end-developer-node-js-javascript/1286570.html?ta_source=ITJobs_LinkDetail,EM&AI,Trên 30 triệu,Đà Nẵng,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"- 5+ years of programming experience;
- 3+ years of JavaScript and Node.js experience;
- Experience with REST, WebSocket, MySQL/PostgreSQL, MongoDB, Redis;
- Experience with Docker and AWS Infrastructure;
- Understanding of asynchronous development and data security principles;
- Ability to write readable, well-documented code;
- Self-motivation, goal-oriented approach."
Nhân Viên Xử Lý Dữ Liệu Hình Ảnh Tại Hà Nội (6 - 8 Triệu) Không Yêu Cầu Kinh Nghiệm,https://www.topcv.vn/viec-lam/nhan-vien-xu-ly-du-lieu-hinh-anh-tai-ha-noi-6-8-trieu-khong-yeu-cau-kinh-nghiem/1283047.html?ta_source=ITJobs_LinkDetail,Công ty TNHH LTS Global Digital Services,6 - 8 triệu,Hà Nội,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"Tốt nghiệp các trường đại học/cao đẳng
Kiên trì và cẩn thận
Ưu tiên có kinh nghiệm về xử lý dữ liệu hình ảnh
Độ tuổi: 18 - 25"
Code Game Roblox,https://www.topcv.vn/viec-lam/code-game-roblox/1289855.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN YOTEL - YO NETWORK,Thoả thuận,Hồ Chí Minh,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"– Thành thạo Roblox Studio và thông thạo ngôn ngữ lập trình liên quan (Lua).
– Có kinh nghiệm xây map, animation bằng Roblox Studio.
– Có sự sáng tạo, góc nhìn trong Roblox.
– Am hiểu các khung hình trong game Roblox để tạo ra video như kênh Lututu."
Kỹ Sư An Ninh Mạng Lương Từ 40 Triệu / Tháng,https://www.topcv.vn/viec-lam/ky-su-an-ninh-mang-luong-tu-40-trieu-thang/1026763.html?ta_source=ITJobs_LinkDetail,Công ty TNHH sản xuất và thương mại Ninh Thanh,Trên 40 triệu,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Nam,"- Kinh nghiệm hơn 2 năm về an toàn thông tin, kiểm thử bảo mật, tìm kiếm lỗ hổng.- Có một trong các chứng chỉ bảo mật sau sẽ là một lợi thế: OSCP, OSWE, CEH, AWS- Có kiến thức, kinh nhiệm penetration test ứng dụng web, mobile, desktop app- Có khả năng đọc hiểu các ngôn ngữ lập trình: Java, .Net, Node js- Hiểu về kiến trúc ứng dụng, hệ thống.- Hiểu, nắm rõ các tiêu chuẩn ANTT ứng dụng, tiêu chuẩn ANTT cho lĩnh vực Ngân hàng, tài chính.- Hiểu về các giải pháp ANTT ứng dụng như web application firewall, API security"
Swift IOS Developer- Lương Từ 16 - 25 Triệu,https://www.topcv.vn/brand/congnghiepvienthongquandoi/tuyen-dung/swift-ios-developer-luong-tu-16-25-trieu-j1289438.html?ta_source=ITJobs_LinkDetail,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,16 - 25 triệu,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"1. Trình độ: Tốt nghiệp đại học loại khá trở lên các ngành Công nghệ thông tin, Kỹ thuật phần mềm hoặc các ngành liên quan2. Trình độ tiếng Anh: chứng chỉ TOEIC, TOEFL hoặc IELTS tương đương với điểm TOEIC – 550 điểm trở lên.3. Kinh nghiệm: Có trên 1 năm kinh nghiệm về thiết kế, phát triển và triển khai ứng dụng phần mềm trên nền tảng iOS4. Kỹ năng- Có khả năng phát triển 1 ứng dụng hoàn chỉnh trên nền tảng iOS bằng ngôn ngữ lập trình Swift- Có khả năng tối ưu hiệu năng dựa trên hiểu biết sâu về ngôn ngữ lập trình- Có kiến thức về cơ chế xác thực, mã hóa dữ liệu, cơ chế xử lý tuần tự, song song, đa luồng, đa tiến trình- Có kiến thức về UI/UX của ứng dụng trên nền tảng mobile iOS và AppleTV- Có khả năng triển khai ứng dụng lên các môi trường testflight, enterprise, public. Có hiểu biết về tối ưu kết quả tìm kiếm ứng dụng trên appstore (ASO)- Có hiểu biết và áp dụng thành thục quy trình phát triển phần mềm bằng phương pháp Agile"
