Size company,Salary,Level,Year of Experience,Contract Type,Sex,Programming Language,Language,Location
100-499,16000000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
1000+,17500000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,c#,Không yêu cầu,Khác
1000+,17500000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,javascript,Không yêu cầu,Khác
10-24,12000000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hồ Chí Minh
10-24,13500000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,c#,tiếng anh,Hồ Chí Minh
100-499,14000000.0,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hà Nội
10-24,21500000.0,Nhân viên,Trên 5 năm,Toàn thời gian,Không yêu cầu,php,Không yêu cầu,Hồ Chí Minh
25-99,21000000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
25-99,12000000.0,Nhân viên,Dưới 1 năm,Toàn thời gian,Nam,Khác,Không yêu cầu,Hồ Chí Minh
25-99,20000000.0,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
10-24,32500000.0,Nhân viên,4 năm,Toàn thời gian,Không yêu cầu,php,tiếng anh,Hà Nội
10-24,32500000.0,Nhân viên,4 năm,Toàn thời gian,Không yêu cầu,python,tiếng anh,Hà Nội
10-24,19000000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,c++,Không yêu cầu,Hồ Chí Minh
10-24,19000000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,c#,Không yêu cầu,Hồ Chí Minh
10-24,19000000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,c,Không yêu cầu,Hồ Chí Minh
10-24,25000000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hồ Chí Minh
100-499,4800000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Thực tập,Nữ,Khác,tiếng anh,Khác
100-499,4800000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Thực tập,Không yêu cầu,javascript,Không yêu cầu,Hà Nội
500-1000,30000000.0,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,java,Không yêu cầu,Hà Nội
3000+,35000000.0,Quản lý / Giám sát,2 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
25-99,20000000.0,Nhân viên,1 năm,Toàn thời gian,Nam,php,Không yêu cầu,Hà Nội
25-99,20000000.0,Nhân viên,1 năm,Toàn thời gian,Nam,javascript,Không yêu cầu,Hà Nội
100-499,17500000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hồ Chí Minh
25-99,10000000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hồ Chí Minh
25-99,13000000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hồ Chí Minh
25-99,10000000.0,Nhân viên,Dưới 1 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hồ Chí Minh
10-24,12500000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
25-99,9000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Nam,Khác,tiếng anh,Hà Nội
